age	city	ethnicity	first_name	last_name	location	name	sex	state	tiernum	year	years_of_schooling	vowel	stress	pre_word	word	fol_word	F1	F2	F3	B1	B2	B3	t	beg	end	dur	cd	fm	fp	fv	ps	fs	style	glide	pre_seg	fol_seg	context	vowel_index	pre_word_trans	word_trans	fol_word_trans	F1@20%	F2@20%	F1@35%	F2@35%	F1@50%	F2@50%	F1@65%	F2@65%	F1@80%	F2@80%	nFormants	F1_man	F2_man	F3_man	plt_code	plt_stress	plt_word	t_man
												AO	1		STORE		596.5	1169	2485.4	70.4	96.1	190	75.708	75.675	75.775	0.1	64	6	4	2	3	0										589.4	1227.9	597.9	1166.1	609.8	1168.8	616.9	1191.3	632.8	1231.8	5	645	1194	2653	64.6003	1	store	75.7147
												IY	1		REALLY		661.3	1932.8	2378.7	152	194.9	200.4	81.833	81.813	81.873	0.06	11	5	4	2	7	1										649.9	1899.6	662.8	1935.7	672.9	1941.7	680.9	1928.7	685.8	1916.6	5	698	1975	2665	11.54271	1	really	81.8543
												AE	2		MASSACHUSETTS		832.6	1967.1	2646.8	223	118.7	1139.6	84.478	84.448	84.537	0.089	3	3	4	1	2	2										842.4	1971.2	831.4	1966	829.8	1937.3	762.9	1734.3	760.8	1673.5	6	792	1971	2911	3.34222	1	Massachusetts	84.4782
												EH	1		READING		641.2	1713.3	2412.7	130.2	252.9	670.7	86.641	86.608	86.708	0.1	2	1	4	2	7	1										589.2	1634.3	651.1	1706.7	729.7	1759.3	778.8	1818.4	739.8	1827.1	5	785	1821	2856	2.1427	1	Reading	86.6762
												AE	1		GRANDFATHER		796.2	2074.5	2514.9	92.7	92.2	151.5	96.293	96.26	96.36	0.1	3	4	4	2	8	5										737.8	2057.6	806	2077.3	865.6	2090.4	882.8	2097.5	867.4	2093.7	5	877	2086	2763	3.44285	1	grandfather	96.3258
												AA	2		GRANDFATHER		935.8	1750.1	2693.2	66.8	287.8	245.6	96.556	96.5	96.669	0.169	43	3	3	2	1	1										917.4	1748.3	936.1	1750.1	935.3	1748.6	926.7	1749.9	858.2	1708.4	5	937	1756	2711	43.33111	1	(grand)father	96.578
												IY	1		BELIEVE		507.7	2549.7	2935.2	174.1	148.5	279.5	100.653	100.583	100.793	0.21	11	3	2	2	7	0										542.5	2415.7	506.6	2552.9	481.5	2566.2	495.8	2551.3	526.3	2422.2	5	500	2573	2918	11.3227	1	(be)lieve	100.6634
												IH	1		VIRGINIA		650.8	2213.7	3155.7	110.6	172.5	172.2	102.134	102.114	102.174	0.06	1	4	4	2	5	1										628.5	2215.7	652.6	2213.3	662.3	2205.5	663.9	2196.6	660.9	2180.9	4	652	2165	3114	1.44251	1	(Vir)ginia	102.1406
												EH	1		LEBANESE		788	1697.3	2919.9	96.1	223.2	193.6	103.104	103.084	103.144	0.06	2	1	1	2	7	2										807.2	1708.4	784.2	1695.1	732	1673.1	641.6	1707.9	655.4	2009.1	4	794	1668	2886	2.11272	1	Lebanese	103.0993
												OW	1		OVER		618.2	1149.9	2082.7	618.4	742.7	1074	106.202	106.195	106.285	0.09	62	3	2	2	0	1										618.4	1149.7	622	1131.5	638.2	1150.2	585.2	1109.1	541.8	1053	6	663	1169	2717	62.32201	1	over	106.219
												ER	1		THIRD		616.3	2054.3	3239.4	178	143	2149.9	110.647	110.62	110.7	0.08	94	1	4	2	3	0										622.5	2043.2	615.8	2055.7	605.2	2077	587.3	2111.7	564.7	2196.1	4	593	2017	2486	94.6003	1	third	110.6534
												OW	1		GO		614.4	1324	2479.1	589.4	302.6	473	133.941	133.93	133.98	0.05	63	0	0	0	6	0										614.4	1324	554.6	1274.2	600.7	1255.2	628.8	1244.1	646	1248.5	5	661	1297	2310	62.0006	1	go	133.9811
												EH	1		RESTAURANT		773.5	1839.3	2536.4	100.4	186.6	618.2	137.13	137.097	137.197	0.1	2	3	4	1	7	4										714.8	1863.8	783.4	1835.5	841.1	1808.7	851.4	1781.9	849.6	1826.2	5	851	1788	2885	2.34272	1	restaurant	137.1549
												AA	2		RESTAURANT		928.9	1827.6	3137.1	132.5	178.7	530.8	137.385	137.358	137.438	0.08	5	4	4	2	8	3										924.4	1852.9	929	1824.6	926.9	1791.8	911	1769	877.1	1753.5	4	913	1771	2956	43.44273	1	(restau)rant	137.3913
												AY	1		LIKE		786.7	1579.3	3018.6	144.6	239.7	207.2	138.098	138.098	138.188	0.09	47	1	6	1	7	0										745.4	1776.3	709.2	1923.5	678.4	2057.9	645	2254.8	632.1	2387	5	768	1647	3049	47.1617	1	like	138.1064
												OW	1		GO		626	1233.8	2521.2	80.1	181.1	505.7	138.393	138.368	138.468	0.1	63	0	0	0	6	0										620.5	1244.5	633.1	1233.2	637.7	1244.9	637.1	1264.7	631.3	1094.1	6	680	1279	2742	62.0006	1	go	138.4141
												EH	1		THERE		775.4	1912.3	2708	78.1	154.1	306.3	138.618	138.548	138.758	0.21	2	6	4	2	3	0										781.3	1907.1	776.2	1913.9	774.3	1897.6	766.6	1914.7	729.8	1950.5	5	752	1871	2945	24.6003	1	there	138.5694
												IY	1		SCREEN		679.7	2242.9	2554.7	130.6	140.4	340.5	142.549	142.526	142.596	0.07	11	4	4	2	8	0										664.4	2188.7	681.9	2254.4	682.9	2305.3	676.3	2316.8	656.3	2189.2	5	684	2288	2647	11.4428	1	screen	142.5551
												AY	1		IMAX		918.1	1709.2	1939.8	206.6	224.3	739.4	142.75	142.696	142.836	0.14	41	4	1	2	0	1										911.3	1609.2	916	1693.9	884.3	1797.9	830	2006.8	816.2	2168.2	6	1039	1722	3260	41.41201	1	IMAX	142.7403
												AE	2		IMAX		896.2	2148.5	3250.1	122.1	132	179.4	142.996	142.936	143.116	0.18	3	1	6	1	2	3										877.2	2248.1	898.9	2139	919.6	2011.2	919.6	1946.2	915.7	1967.4	4	862	2215	3172	3.16123	1	(I)MAX	142.9697
												OW	1		GO		618.7	1424.3	2590.4	82.7	384.8	306.9	143.488	143.465	143.556	0.091	63	0	0	0	6	0										614.3	1454.6	626.2	1386.8	634.1	1399.2	634	1430.1	630.2	1489	5	640	1413	2691	62.0006	1	go	143.5081
												AH	1		OTHER		711	1870.6	2916.1	119.2	155	197.1	149.005	148.988	149.039	0.051	6	3	3	2	0	1										708.1	1898.8	711.1	1863.1	704.9	1805.1	673.6	1731.6	631.6	1664.2	5	710	1861	2938	6.33101	1	other	149.0039
												AH	1		MONTH		868.2	1454.5	2029.8	217.6	190.2	1307.3	149.209	149.189	149.248	0.059	6	4	4	2	2	3										871.7	1450.5	867.2	1455.1	853	1450.2	835.1	1390.3	805	1369.1	6	953	1528	3349	6.44223	1	month	149.209
												EH	1		THERE		826.5	2029.7	2395.9	62.7	170.1	1235.6	153.524	153.424	153.723	0.299	2	6	4	2	3	0										834.9	2059	826.3	2020.4	806.8	1952.7	801.9	1860.7	766.2	1875.2	6	847	2115	3029	24.6003	1	there	153.464
												AW	1		ABOUT		804.3	1656.7	2802.9	128.4	289.5	259.9	159.018	158.989	159.109	0.12	42	1	4	1	1	0										745.4	1588	856.7	1712.9	880.7	1690.1	874	1666	852.2	1638.9	5	876	1679	2836	42.1411	1	(a)bout	159.0494
												AE	1		HAVE		787.7	2022.9	2589.3	49.2	106	1689.1	165.512	165.475	165.585	0.11	3	3	2	2	0	0										801.8	2034.8	785.8	2018.8	768.7	1970	739.8	1914.8	643.2	1848.7	5	814	2046	3019	3.322	1	have	165.4953
												EH	1		THERE		830.9	2037.4	2939.4	111.3	86.7	228.8	165.875	165.845	165.934	0.089	2	6	4	2	3	0										835.7	2064	830.1	2035.3	813.9	2012.9	788.8	1995.9	759.6	1986.6	5	833	2071	3111	24.6003	1	there	165.86
												IH	1		VISIT		641.5	1932.5	2613.2	122.9	204.8	934.7	166.102	166.085	166.135	0.05	1	3	4	2	1	1										639.4	1923	641.5	1932.5	636.7	1937.6	631.5	1923.5	618.9	1908.1	5	649	1954	2823	1.34211	1	visit	166.1107
												AE	1		FAMILY		750.5	2394.2	2655.9	100.1	200.7	1457.5	166.367	166.314	166.474	0.16	3	4	1	2	1	1										685.2	2146.6	762.2	2415.9	824.1	2437.7	841.7	2332.3	847.1	2157.9	5	824	2454	3057	3.41212	1	family	166.387
												AA	1		PROBABLY		890.5	1655.1	2754.2	118.8	193.4	533.9	168.07	168.047	168.117	0.07	5	1	1	2	8	1										884.5	1681	890.9	1647.4	880.5	1600	864.1	1551.9	847.2	1524.9	5	919	1722	2891	5.11282	1	probably	168.0694
												EH	1		EVER		891.8	1756.4	3034.9	101	124.1	459.7	169.583	169.557	169.636	0.079	2	3	2	2	0	1										892.2	1768.6	891.4	1753	882.1	1743.3	864.9	1735.8	842.1	1713.6	5	901	1758	3041	2.32201	1	ever	169.5865
												AO	1		ALBANY		935.2	1400.9	3002.7	60.6	76.8	218.3	176.074	176.034	176.154	0.12	53	5	4	2	0	5										942.4	1402.2	935.8	1400.9	925.6	1386.7	909.8	1373	881.8	1350.6	5	946	1412	3039	53.54205	1	Albany	176.0808
												AA	1		CONCERTS		966.8	1696.9	2029.4	168.2	168.1	946.6	176.844	176.814	176.904	0.09	5	4	4	2	6	4										958.6	1709.3	966.4	1696.2	935.6	1669.2	886	1624.9	842.9	1624.5	6	1066	1752	3058	5.44204	1	concerts	176.8472
												AA	1		LOT		987.8	1620.7	2986.3	153.3	223.6	365	177.447	177.364	177.614	0.25	5	1	4	1	7	0										959.7	1489	994.7	1634.7	1027.3	1677.5	1004	1682.9	971.3	1708	4	1002	1619	2845	5.1417	1	lot	177.5024
												AE	1		FAMILY		780.1	2324.2	3081.7	74.7	139.4	306.8	178.183	178.136	178.276	0.14	3	4	1	2	1	1										710.1	2263.4	787.6	2322.7	819.1	2282.6	817.6	2209.3	815.8	2049.3	5	817	2333	3115	3.41212	1	family	178.1905
												AW	1		OUT		809.1	1568.9	2773.7	79.6	231.9	151.4	178.996	178.966	179.085	0.119	42	1	4	1	0	0										796.9	1558.1	819.3	1558.3	832.5	1517.8	842	1471.3	826.9	1438.2	5	842	1503	2725	42.141	1	out	179.0314
												OY	1		BOYFRIEND		632.1	1396.9	2137	84.5	145	2076.9	182.105	182.075	182.165	0.09	61	3	2	1	1	1										614.4	1214.5	632.4	1412.4	631	1658.7	625.6	1837.4	625.9	1931.1	6	570	1042	2621	61.32114	1	boyfriend	182.0751
												OW	1		GOES		684.3	1413.6	2340.9	236.3	387.3	346.6	182.376	182.364	182.474	0.11	62	3	4	2	6	0										616.4	1308.5	622.5	1197.2	618.5	1222	611.4	1310.1	608.9	1458.1	6	626	1219	2487	62.0026	1	goes	182.4141
												AO	1		ALBANY		826.2	1544.1	2745.4	82.9	146.5	188.7	182.595	182.575	182.635	0.06	53	5	4	2	0	5										796.1	1557.5	829.2	1541.7	856.8	1530.4	877.4	1532.9	886.5	1539.7	5	868	1375	2633	53.54205	1	Albany	182.6477
												AA	1		COLLEGE		833.7	1501.8	2334.1	107.1	225.5	549	182.922	182.895	182.975	0.08	5	5	4	2	6	1										858	1452.3	835.9	1499.4	866.7	1470.4	865.3	1461	836.5	1528.3	6	856	1587	2905	5.54201	1	college	182.9554
												AA	1		PHARMACY		807.6	1456.7	2253.8	103.7	193.6	190	183.184	183.164	183.225	0.061	44	6	4	2	1	5										809.8	1388.6	810.8	1465.2	846.9	1543.5	873.7	1604.1	888.6	1653.3	5	881	1620	2236	44.60012	1	pharmacy	183.2118
												AA	1		LOT		906.3	1640.1	3095.7	104.3	241.4	244.4	185.718	185.691	185.771	0.08	5	1	4	1	7	0										896.8	1595.6	907.1	1643.8	901.3	1680.2	867.8	1685.9	800.3	1673.8	5	900	1643	3100	5.1417	1	lot	185.7247
												IH	1		VISITING		622.6	1929.7	2953.1	75.7	129.8	245.4	185.921	185.901	185.961	0.06	1	3	4	2	1	2										626.6	1926.7	622.3	1929.1	615	1925.1	603.8	1912.6	598.6	1890.6	4	625	1917	2974	1.34211	1	visiting	185.9269
												EY	1		DAVE		679	2278.8	3099.3	320.9	262.1	1354.8	187.833	187.821	187.931	0.11	21	3	2	2	3	0										483.8	2288.7	485	2377.3	482.4	2443.9	473.4	2459.7	471.9	2398.9	5	490	2409	3169	21.3223	1	Dave	187.8657
												AE	1		MATTHEWS		823.8	2212.4	3070	66.5	96.2	269.8	188.044	188.021	188.091	0.07	3	3	3	1	2	1										819.6	2232.2	824.2	2205.7	824.8	2165.1	826.8	2022.3	844.2	2033.2	5	830	2228	3075	3.14121	1	Matthews	188.0438
												AE	1		BAND		787.4	2202.4	2994.1	276.2	312.2	300.1	188.387	188.34	188.48	0.14	3	4	4	2	1	3										729.7	2112	793	2209.9	812.9	2155.4	834.9	2028.6	822.7	1909.4	5	750	2204	3020	3.44213	1	band	188.3999
												AA	1		NOT		978	1599.2	1982.6	248.8	344.3	382.7	195.419	195.319	195.619	0.3	5	1	4	1	4	0										1017.1	1605.9	975.7	1599	945.3	1613.8	910.2	1666.6	899.2	1765	6	1127	1797	3124	5.1414	1	not	195.4113
												AE	1		HAVE		868.7	2212.4	3096.2	171.9	135.2	173.8	197.605	197.588	197.638	0.05	3	3	2	2	0	0										872.6	2236.3	868.7	2212.4	854.7	2160.1	809.1	2058.7	736.3	1967.4	4	877	2224	3101	3.322	1	have	197.6022
												AO	1		MALL		926.2	1221.6	1828.8	134.4	87.6	1416.6	198.048	198.008	198.127	0.119	53	5	4	2	2	0										901.2	1212.1	929.6	1224.1	943.9	1255	929.8	1306.1	896.4	1317	6	978	1263	3284	53.5422	1	mall	198.058
												AO	1		NORWICH		702.6	1327.9	2275.2	106.6	188.7	242.3	199.942	199.922	199.982	0.06	64	6	4	2	4	1										691.9	1391	704.2	1322	716.6	1279.9	731.3	1267.9	744.2	1278.7	6	722	1263	2177	54.60041	1	Norwich	199.9583
												AO	1		MALL		893.4	1335.8	3077.2	106.9	107.2	262.7	201.009	200.982	201.062	0.08	53	5	4	2	2	0										877.8	1317.7	894.7	1337.2	903.1	1353.3	903.1	1364.3	903.9	1367.8	5	898	1362	2709	53.5422	1	mall	201.0437
												AE	1		AND		759.6	2438.4	3025.1	168.3	102.6	305	202.735	202.642	202.922	0.28	3	4	4	2	0	3										714.1	2512.9	774.9	2418.4	875.8	2150.7	886.8	1947	866.8	1928.1	5	726	2482	3030	3.44203	1	and	202.7118
												OW	1		GOES		604.5	1332.9	2443.3	122.8	336.3	700.5	203.672	203.662	203.712	0.05	62	3	4	2	6	0										604.5	1332.9	608.2	1328.9	603.8	1311.2	576.8	1294	559.1	1313.7	6	608	1321	2351	62.0026	1	goes	203.6905
												AA	1		COLLEGE		916.6	1805.9	2734.1	128.3	178.3	481.7	203.892	203.852	203.972	0.12	5	5	4	2	6	1										886.4	1851.7	917	1803.4	926.3	1767.3	956.1	1750	965.1	1737	4	944	1692	2853	5.54201	1	college	203.9554
												AO	1		LACROSSE		850.8	1533	2145.2	85	283.1	1063.3	206.863	206.846	206.896	0.05	53	3	4	1	8	0										853	1532.3	850.8	1533	844.7	1542.7	831.1	1552.5	821.3	1564.9	6	899	1659	2600	53.3428	1	(la)crosse	206.8586
												AH	1		BUNCH		801.1	1397.3	1754.8	74.9	196.9	984.3	211.137	211.117	211.177	0.06	6	4	4	2	1	3										778.4	1320.4	803.9	1407.4	818.3	1483.5	813.9	1499.9	795.2	1449.7	6	875	1593	2756	6.2511	1	bunch	211.1534
												AY	1		TIMES		919.4	2066.7	3047	170.1	87.8	394.3	211.391	211.377	211.487	0.11	41	4	1	2	3	3										902.4	1935.4	910.9	1969.3	919.4	2066.7	906.5	2140.6	864.2	2137.8	4	908	1959	3003	41.4123	1	times	211.4155
												AE	1		ACTUALLY		655.4	1879.7	2926.8	91.8	160.5	203.6	211.623	211.586	211.697	0.111	3	1	6	1	0	4										614.4	1779.8	662.1	1889.4	726.3	1927.8	749.2	1957.8	718.6	1976.7	5	760	1953	2873	3.16105	1	actually	211.6491
												AH	1		UNCLE		910.7	1397.8	1923	123.4	87.4	721.1	212.695	212.672	212.742	0.07	6	4	6	2	0	4										921	1393.7	907.5	1402.3	894.2	1443.7	875.3	1506.6	865.8	1558.4	6	1006	1424	3090	6.44204	1	uncle	212.6876
												AE	1		AUNT		825.4	2322.6	3010.9	76.5	128.6	815.9	213.065	213.012	213.172	0.16	3	4	4	2	0	3										807.6	2484.5	827.8	2297.2	846.7	2090.2	887.3	1978.4	900.9	1927.1	5	815	2561	3120	3.44203	1	aunt	213.0323
												AW	1		ABOUT		804.7	1514.7	2618.3	70.1	152.4	317.1	213.9	213.872	214.081	0.209	42	1	4	1	1	0										834.2	1534.9	835	1486.2	801.5	1396.5	742.4	1262.4	668.8	1074.6	5	859	1538	2718	42.1411	1	(a)bout	213.9312
												UW	1		TWO		485.2	1642.3	2534.8	107.7	206.4	435.1	214.801	214.794	214.844	0.05	73	0	0	0	3	0										485.2	1642.3	485	1604.6	492.3	1585.1	506.7	1592.2	522.9	1610.4	5	485	1615	2628	73.0003	1	two	214.8115
