vowel	stress	word	F1	F2	F3	B1	B2	B3	t	beg	end	dur	cd	fm	fp	fv	ps	fs	style	glide	F1@20%	F2@20%	F1@35%	F2@35%	F1@50%	F2@50%	F1@65%	F2@65%	F1@80%	F2@80%	nFormants	F1_man	F2_man	F3_man	plt_code	plt_stress	plt_word	t_man
OW	1	PROGRAM	501.8	1198.7	1805.9	86.9	95.2	133.9	69.032	69.023	69.102	0.079	62	1	6	2	8	1			502.3	1175.4	498.3	1092.0	480.3	1011.2	456.5	960.5	487.5	1007.9	5		505	1168	1819	62.16284	1	program	69.0405
AE	1	THANKS	637.8	1736.8	2678.5	57.9	116.9	192.7	71.099	71.056	71.186	0.13	3	4	6	2	3	3			628.2	1646.2	637.3	1747.2	632.4	1781.2	620.0	1825.0	622.2	1867.6	5		623	1871	2684	3.46233	1	thanks	71.1659
OW	1	BOTH	521.5	897.6	2272.5	94.5	76.7	199.1	75.503	75.481	75.572	0.091	62	3	3	1	1	0			521.9	902.8	519.6	895.9	522.7	924.4	527.1	970.8	534.2	1018.9	5		526	899	2252	62.3311	1	both	75.5006
AO	1	BORN	497.3	800.6	2042.9	107.4	76.8	239.1	75.712	75.682	75.771	0.089	64	6	4	2	1	3			467.9	781.5	500.4	803.7	533.3	861.7	556.1	937.1	574.5	1048.7	6		548	847	2144	54.6001	1	born	75.7229
EH	1	PARENTS	657.9	1741.1	3344.8	252.8	132.4	396.4	81.355	81.308	81.449	0.141	2	6	4	2	1	1			640.8	1769.9	658.8	1743.6	664.1	1776.0	663.4	1801.4	643.8	1803.4	3		603	1626	1930	24.60011	1	parents	81.3482
OW	1	BOTH	509.1	1008.7	1996.9	195.6	203.9	251.9	82.778	82.757	82.858	0.101	62	3	3	1	1	0			511.3	1027.3	480.6	844.7	506.0	893.8	527.8	960.4	542.3	1028.6	6		533	954	2308	62.3311	1	both	82.8226
AO	1	BORN	506.2	846.5	2257.9	103.9	69.0	807.6	82.991	82.958	83.058	0.1	64	6	4	2	1	3			467.3	847.8	513.6	848.9	570.2	902.5	606.1	1004.3	622.3	1120.9	5		548	866	2100	54.6001	1	born	83.002
AW	1	AROUND	736.2	1310.0	2117.5	104.6	113.1	329.8	83.231	83.197	83.358	0.161	42	4	4	2	7	0			731.3	1304.4	769.2	1359.2	770.2	1355.2	744.2	1313.9	661.1	1302.9	5		776	1369	2296	42.44273	1	(a)round	83.2627
IH	1	HERE	467.0	1908.3	2267.6	77.0	104.6	540.3	83.481	83.417	83.608	0.191	14	6	4	2	0	0			451.4	1971.0	467.9	1903.8	483.5	1799.3	498.3	1704.1	510.3	1617.9	5		464	1924	2313	14.6	1	here	83.4679
EH	1	PARENTS	656.7	1707.5	2810.5	201.1	146.6	2253.1	85.312	85.235	85.465	0.23	2	6	4	2	1	1			652.7	1730.5	655.5	1707.9	650.7	1738.1	649.4	1753.8	650.7	1747.4	4		623	1629	2230	24.60011	1	parents	85.2727
AO	1	BORN	487.8	837.9	2088.1	75.8	56.1	111.1	86.352	86.326	86.405	0.079	64	6	4	2	1	3			475.7	818.5	490.0	842.8	508.5	891.0	532.7	956.5	555.3	1061.5	5		496	857	2090	54.6001	1	born	86.3596
OW	1	KNOW	630.6	1218.6	1395.1	138.4	89.8	1603.9	88.275	88.236	88.406	0.17	63	0	0	0	4	0			628.8	1221.3	628.4	1078.8	619.7	1109.4	620.2	1116.8	608.5	1078.2	6		648	1225	2031	62.0004	1	know	88.2813
AA	1	PROBABLY	682.0	1188.9	2361.1	71.0	76.2	260.5	98.838	98.818	98.878	0.06	5	1	1	2	8	1			690.2	1197.5	680.5	1186.8	664.6	1164.5	643.6	1150.9	609.0	1143.3	5		678	1181	2351	5.11282	1	probably	98.8411
UH	1	LOOK	488.3	1245.1	2405.6	48.7	71.5	532.4	99.094	99.077	99.127	0.05	7	1	6	1	7	0			491.3	1234.3	488.3	1245.1	477.0	1248.3	458.7	1257.8	451.0	1268.0	5		494	1231	2616	7.1617	1	look	99.0861
EH	1	ELSE	614.1	1329.3	2047.5	39.8	84.1	248.2	99.504	99.487	99.538	0.051	2	5	4	2	0	3			602.7	1327.4	616.4	1329.1	633.1	1323.7	648.4	1311.8	655.2	1301.8	5		662	1276	2458	2.54203	1	else	99.5391
IH	1	INITIALLY	485.6	1812.2	2622.2	104.8	65.6	196.4	100.823	100.806	100.856	0.05	1	3	5	1	4	2			475.9	1807.5	485.6	1812.2	490.8	1811.1	494.2	1816.5	498.0	1823.6	5		499	1814	2609	1.35142	1	(i)nitially	100.8397
AA	1	NOT	723.0	1495.4	2853.5	112.6	126.2	480.2	113.395	113.372	113.442	0.07	5	1	4	1	4	0			703.7	1496.9	723.7	1494.3	726.7	1481.8	720.9	1469.8	701.2	1436.3	4		716	1462	2734	5.1414	1	not	113.3995
AA	1	LOT	746.1	1306.6	2876.5	77.1	103.4	451.9	113.588	113.561	113.642	0.081	5	1	4	1	7	0			738.7	1264.6	746.4	1309.9	743.5	1341.7	733.1	1365.8	702.9	1358.6	4		736	1311	2669	5.1417	1	lot	113.5961
AA	1	COLLAR	774.1	1331.8	2738.6	145.3	158.7	699.2	114.058	114.031	114.111	0.08	5	5	4	2	6	1			786.4	1365.2	772.5	1329.3	765.3	1311.2	760.6	1297.8	748.4	1276.4	4		750	1287	2456	5.54201	1	collar	114.0718
EH	1	PROFESSIONAL	653.7	1435.5	2645.3	109.2	164.7	529.1	114.515	114.491	114.562	0.071	2	3	5	1	1	2			642.5	1414.7	655.3	1438.9	665.9	1474.4	663.0	1522.4	651.0	1562.9	4		646	1422	2462	2.35112	1	(pro)fessional	114.5277
AA	1	JOBS	719.0	1351.9	2702.1	77.5	80.9	883.9	114.991	114.931	115.111	0.18	5	1	1	2	5	3			708.4	1383.3	721.3	1351.9	730.8	1346.8	718.1	1335.8	692.6	1329.5	4		728	1337	2466	5.1125	1	jobs	115.0277
EH	1	DEPENDS	656.9	1380.1	1538.9	138.1	193.8	961.0	117.398	117.381	117.431	0.05	2	4	4	2	1	3			660.5	1358.6	656.9	1380.1	643.8	1399.6	622.1	1362.9	599.9	1324.0	6		692	1406	2410	2.44213	1	(de)pends	117.4023
AO	1	FOR	420.6	802.5	1935.0	109.6	75.8	599.6	118.041	118.001	118.122	0.121	64	6	4	2	1	0			425.9	833.7	421.8	801.7	444.0	817.3	478.4	892.1	505.1	958.6	6		448	810	2261	54.6001	1	for	118.059
EH	1	GUESS	525.5	1862.6	2164.2	52.5	113.1	321.1	120.954	120.934	120.994	0.06	2	3	4	1	6	0			499.0	1899.4	528.4	1858.0	548.1	1818.6	552.4	1784.3	544.5	1750.4	5		557	1795	2208	2.3416	1	guess	120.9679
OW	1	NO	545.9	1299.5	2286.3	93.4	87.9	346.2	121.636	121.624	121.723	0.099	63	0	0	0	4	0			558.4	1246.2	551.4	1114.9	529.5	976.4	510.5	897.1	514.5	869.4	5		559	1174	2309	62.0004	1	no	121.6545
AW	1	ACCOUNTANTS	791.8	1547.6	2305.2	312.1	266.8	907.0	121.863	121.833	121.953	0.12	42	4	4	2	6	4			807.4	1591.5	785.0	1445.5	762.6	1358.1	737.2	1277.0	734.4	1211.6	5		736	1296	2572	42.44204	1	(ac)countants	121.9052
AW	1	AROUND	659.0	1344.5	2022.7	63.2	134.1	145.0	122.894	122.873	123.023	0.15	42	4	4	2	7	0			673.6	1345.1	678.6	1364.0	661.6	1340.7	633.3	1290.5	606.4	1380.5	5		683	1344	2072	42.44273	1	(a)round	122.9095
IH	1	HERE	465.2	1937.6	2941.0	77.6	79.7	1363.2	123.146	123.093	123.253	0.16	14	6	4	2	0	0			472.6	1973.9	466.3	1932.2	499.2	1907.1	517.6	1955.7	525.5	1873.2	4		455	1930	2284	14.6	1	here	123.1345
AO	1	OR	429.6	710.7	2102.8	82.4	95.1	217.4	124.517	124.437	124.677	0.24	64	6	4	2	0	0			436.1	717.5	426.7	709.4	422.5	709.3	460.3	775.5	497.8	923.1	6		467	689	2230	54.6006	1	or	124.5377
IY	1	REAL	343.5	1763.4	2159.9	106.6	120.1	358.5	124.963	124.936	125.016	0.08	11	5	4	2	7	0			329.3	1729.2	345.0	1765.5	371.2	1780.0	400.6	1741.3	434.4	1646.4	5		369	1788	2184	11.5427	1	real	124.9764
EY	1	ESTATE	479.1	1872.4	2801.8	84.6	66.9	379.6	125.262	125.247	125.346	0.099	21	1	4	1	3	0			474.2	1892.8	452.0	1918.7	430.1	1939.4	421.7	1943.5	407.0	1938.8	4		471	1887	2735	21.1413	1	(e)state	125.2684
IY	1	PEOPLE	365.5	1976.9	3069.6	102.3	82.9	383.8	125.456	125.416	125.537	0.121	11	1	1	1	1	1			374.7	1979.2	364.1	1977.7	362.9	1996.3	384.5	1959.3	468.9	1778.4	4		377	1976	2935	11.11111	1	people	125.4622
EY	1	MAYBE	477.9	1920.5	3021.6	118.2	63.5	427.3	126.289	126.277	126.376	0.099	21	1	1	2	2	1			459.0	1927.2	429.2	1944.3	409.5	1956.0	393.5	1941.5	354.9	1914.6	4		484	1905	2845	21.1122	1	maybe	126.2884
EH	1	ENGINEER	589.0	1862.9	2657.0	113.9	61.7	347.9	128.986	128.966	129.027	0.061	2	4	4	2	0	5			586.5	1849.4	589.2	1864.4	585.5	1875.1	574.0	1887.8	552.5	1887.0	4		592	1867	2592	2.46205	1	engineer	128.9949
IH	1	ENGINEER	446.2	1945.7	2572.2	80.1	64.8	588.0	129.283	129.236	129.376	0.14	14	6	4	2	4	0			447.2	1966.7	447.1	1942.7	460.6	1897.2	467.1	1804.7	469.0	1702.7	5		443	1960	2639	14.6004	1	(engi)neer	129.2741
AY	1	KIND	740.3	1590.2	2272.5	169.0	160.5	380.5	129.834	129.797	130.017	0.22	41	4	4	2	6	3		s	736.0	1565.4	691.8	1413.6	665.7	1496.1	636.4	1552.0	608.7	1515.2	5		750	1588	2289	41.44263	1	kind	129.8368
AA	1	NOT	706.1	1465.8	2626.9	243.1	133.2	633.8	130.831	130.791	130.911	0.12	5	1	4	1	4	0			689.0	1476.9	705.1	1460.4	724.1	1385.1	741.3	1363.4	687.7	1294.8	5		704	1512	2013	5.1414	1	not	130.8311
AH	1	MUCH	611.9	1227.7	2276.6	359.8	277.6	780.9	131.02	131.0	131.06	0.06	6	2	5	1	2	0			556.8	1167.7	619.4	1238.1	670.8	1316.6	644.6	1376.7	554.1	1435.3	6		570	1142	2272	6.16123	1	much	131.0077
AE	1	THAT	623.1	1576.4	2323.0	248.5	189.2	1226.3	131.393	131.37	131.44	0.07	3	1	4	1	3	0			597.4	1569.2	619.9	1576.4	629.3	1570.9	649.8	1464.7	664.7	1219.6	6		705	1641	2625	3.1413	1	that	131.4707
AA	1	LOT	701.2	1252.3	2800.1	82.3	110.0	260.0	133.185	133.158	133.239	0.081	5	1	4	1	7	0			682.8	1200.2	702.4	1257.6	707.7	1322.2	704.8	1384.0	696.6	1435.0	4		699	1327	2667	5.1417	1	lot	133.2043
IH	1	INDUSTRY	516.0	2021.0	2908.0	79.9	112.1	1158.6	133.485	133.468	133.518	0.05	1	4	4	2	0	5			514.9	2019.4	516.0	2021.0	514.3	2008.2	502.6	1981.6	489.6	1979.9	4		520	2020	2925	1.44205	1	industry	133.4835
UW	1	MOVED	384.6	1159.6	2214.0	78.5	117.6	509.8	134.031	134.008	134.078	0.07	72	3	2	2	2	3			391.0	1184.4	383.1	1150.9	378.5	1112.8	377.5	1085.3	381.1	1101.0	5		415	1261	2977	72.3222	1	moved	134.0277
OW	1	NO	556.3	1353.9	2158.2	112.4	78.9	278.2	139.387	139.369	139.439	0.07	63	0	0	0	4	0			552.4	1387.2	562.3	1304.8	568.5	1236.7	573.6	1177.4	577.7	1151.0	5		713	1213	2744	62.0004	1	no	139.4351
AW	1	NOW	660.1	1624.4	2574.3	72.7	200.0	994.3	139.927	139.899	140.01	0.111	42	0	0	0	4	0			656.9	1643.3	667.8	1580.4	681.7	1511.4	688.1	1445.9	684.1	1376.9	5		664	1622	2892	42.0004	1	now	139.9365
EH	1	TELL	594.9	1506.3	2486.7	123.2	211.9	647.7	140.956	140.939	140.989	0.05	2	5	4	2	3	0			576.0	1565.9	594.9	1506.3	614.9	1403.7	627.8	1310.7	627.8	1253.3	5		654	1261	2763	2.5423	1	tell	140.9807
IY	1	PEOPLE	391.0	1846.7	2922.3	166.4	131.6	558.6	141.152	141.119	141.219	0.1	11	1	1	1	1	1			385.8	1871.5	391.3	1842.8	393.2	1821.2	391.7	1815.8	390.2	1824.0	4		394	1828	2869	11.11111	1	people	141.1659
EH	1	EXXON	693.2	1581.3	2579.2	103.5	227.5	1035.3	143.488	143.468	143.528	0.06	2	1	6	1	0	4			680.6	1539.4	694.3	1588.3	700.6	1650.4	696.7	1721.6	677.7	1764.5	4		698	1586	2493	2.16104	1	Exxon	143.4907
AE	1	ASK	593.3	1897.3	4023.6	56.0	91.7	622.0	144.541	144.508	144.608	0.1	33	3	4	1	0	3			572.3	1936.9	595.4	1893.2	603.3	1896.5	608.2	1904.5	610.1	1839.5	3		600	1870	3860	3.34103	1	ask	144.5505
IY	0	BE	395.6	2014.9	2859.3	99.2	123.0	313.2	145.265	145.238	145.318	0.08	12	0	0	0	1	0			397.4	1997.6	395.7	2016.3	396.3	2021.2	395.5	1990.0	403.6	1821.2	5		388	2015	2919	12.0001	1	be	145.2613
AA	1	NOT	795.2	1488.9	2704.0	125.5	124.4	1640.5	157.894	157.857	157.967	0.11	5	1	4	1	4	0			730.1	1551.3	801.5	1483.2	831.1	1466.5	799.0	1485.2	727.2	1506.0	5		840	1467	2178	5.1414	1	not	157.9166
AH	1	MUCH	572.2	1364.5	3241.2	145.0	101.3	785.3	158.203	158.186	158.237	0.051	6	2	5	1	2	0			578.5	1316.4	570.3	1376.0	548.6	1456.2	515.6	1526.8	494.2	1581.0	4		565	1223	2084	6.16123	1	much	158.1887
AW	1	DOWNTOWN	706.5	1623.9	3629.9	147.1	164.0	900.5	158.457	158.416	158.586	0.17	42	4	4	2	3	4			672.1	1642.5	802.9	1572.5	849.2	1413.0	806.2	1233.3	798.3	1191.2	3		755	1455	2579	42.44234	1	downtown	158.4821
AW	0	DOWNTOWN	715.1	1298.8	2246.6	146.3	123.1	1149.5	158.728	158.696	158.826	0.13	42	4	4	2	3	0			709.8	1305.3	721.2	1292.3	724.0	1286.8	721.1	1265.0	695.2	1232.8	5		722	1289	2283	42.4423	1	(down)town	158.7471
AA	1	BARS	648.2	1152.1	2084.8	42.1	49.7	88.4	159.663	159.626	159.737	0.111	44	6	4	2	1	3			633.0	1106.9	649.0	1155.9	652.0	1173.5	655.7	1196.1	645.9	1229.5	6		653	1179	1969	44.6001	1	bars	159.6915
AE	1	HALF	742.8	1765.2	2108.6	40.5	142.0	1168.9	160.502	160.468	160.569	0.101	33	3	2	1	0	0			754.0	1791.0	742.2	1762.7	731.8	1710.1	719.9	1649.3	733.5	1655.1	5		760	1807	2802	3.321	1	half	160.4921
AY	1	MILE	742.1	1290.1	1692.9	100.1	118.7	1048.0	160.756	160.709	160.809	0.1	41	5	4	2	2	0		s	718.6	1195.0	735.8	1248.5	741.6	1300.9	730.7	1365.5	724.4	1397.8	6		831	1356	3230	41.5422	1	mile	160.7542
AY	1	MILE	692.6	1211.3	3438.2	105.8	102.1	235.8	161.308	161.238	161.378	0.14	41	5	4	2	2	0		s	657.2	1140.5	685.0	1175.0	692.6	1211.3	724.5	1283.8	750.1	1416.4	4		758	1401	3152	41.5422	1	mile	161.3454
AW	1	DOWNTOWN	656.2	1469.9	2830.4	51.5	182.8	2435.0	161.879	161.848	161.979	0.131	42	4	4	2	3	4			649.3	1488.7	681.4	1400.1	683.8	1328.6	662.8	1260.5	637.0	1260.8	4		692	1334	3279	42.44234	1	downtown	161.9123
