age	city	ethnicity	first_name	last_name	location	name	sex	state	tiernum	year	years_of_schooling	vowel	stress	pre_word	word	fol_word	F1	F2	F3	B1	B2	B3	t	beg	end	dur	cd	fm	fp	fv	ps	fs	style	glide	pre_seg	fol_seg	context	vowel_index	pre_word_trans	word_trans	fol_word_trans	F1@20%	F2@20%	F1@35%	F2@35%	F1@50%	F2@50%	F1@65%	F2@65%	F1@80%	F2@80%	nFormants
												EY	1		STAY		643.6	2396.4	3388.1	177.5	128.7	221.1	639.324	639.294	639.423	0.129	22	0	0	0	3	0										642.7	2372.7	619	2485.7	577.9	2575.2	552.3	2618.3	510.9	2569.2	4
												IH	1		SIX		751.9	1921.1	2985	103.7	185.1	221.4	639.774	639.744	639.834	0.09	1	1	6	1	3	3										708.9	1902	754.6	1923.5	756.6	1940.7	746.4	1972.9	732.7	2026.9	5
												AE	1		AND		849.3	2323.5	3367.2	155.9	292.9	604.4	640.56	640.543	640.593	0.05	3	4	4	2	0	3										849.2	2297.9	849.3	2323.5	831.7	2385.3	799.5	2445.3	761.8	2480.1	4
												AA	1		GOTTA		875.5	1804.5	2629.9	81.7	294.9	693.7	640.813	640.773	640.893	0.12	5	1	4	1	6	1										785.2	1851.7	884.6	1800.4	931	1766.3	929.8	1745.6	839.7	1735.4	5
												AH	0		GOTTA		674.8	1574.9	2601.1	190.4	352.8	515.3	640.94	640.923	640.973	0.05	6	0	0	0	3	0										689.6	1656.8	674.8	1574.9	631.7	1395.1	595.2	1276.7	573.8	1202.8	5
												EH	1		WEAR		688.7	2043.9	2399.1	94.8	149.5	565.1	641.103	641.073	641.163	0.09	2	6	4	2	9	0										684.8	2022.6	688.6	2044.1	687.6	2029.4	683.9	1999.3	684.2	1977	5
												AA	1		SOCKS		989	1705.2	2784.6	80.1	255.9	712.6	641.356	641.283	641.502	0.219	5	1	6	1	3	3										870.9	1711.9	1003.6	1713.2	1025.4	1736.7	1038.2	1725.6	1014.6	1755.3	5
												OW	1		NO		716	1462.9	2236.1	128	395.1	467.4	641.889	641.873	641.973	0.1	63	0	0	0	4	0										718.2	1425.2	724.8	1325.1	703.7	1229.7	681.5	1133.4	734.3	1183.4	6
												AH	1		THE		653.7	1440.6	2208.5	580.3	320.1	463.5	642.19	642.083	642.403	0.32	6	0	0	0	3	0										626.4	1539.8	674.6	1446.2	973.1	1506.9	773.4	1265.1	932.6	1348.4	6
												AO	1		HALL		957.7	1333.9	3102.2	116.7	158.5	273.8	642.93	642.913	642.963	0.05	53	5	4	2	0	0										965.6	1328.5	957.7	1333.9	952.2	1320.8	955	1297	960.2	1280.1	5
												AA	1		MONITOR		912.7	1411.2	1813.1	173	192	742.9	643.13	643.103	643.183	0.08	5	4	4	2	2	2										913.9	1366.3	910.4	1415.1	885.9	1452.1	878.6	1471.7	884.5	1529.3	6
												AO	1		STALKS		892.4	1455.8	2743	70.6	208.3	523.9	643.623	643.583	643.703	0.12	53	1	6	1	3	3										841.2	1512.7	895.6	1451.7	930	1430.6	931	1419	893.8	1435.2	5
												IY	1		SEE		504.8	2641	3382.5	177.1	138.7	257.9	644.775	644.748	644.828	0.08	12	0	0	0	3	0										502.2	2554.2	505	2648	513.6	2705.9	514.1	2689.3	507.4	2649.5	4
												IH	1		IF		573.2	2408.6	3216.3	141	192.4	342.8	644.851	644.828	644.898	0.07	1	3	2	1	0	0										535.7	2484.4	578.2	2399.2	633.8	2289.9	660.1	2203.3	655.5	2100.7	5
												UW	1		YOU'RE		602.2	1876	2196.6	178.7	396	191.7	645.075	645.058	645.108	0.05	74	6	4	2	9	0										599.9	1914.8	602.2	1876	608.9	1832.4	615	1801.9	618.4	1771.7	5
												AW	1		OUT		1000.4	1568.4	2513.3	67.3	184.6	389.4	645.387	645.368	645.468	0.1	42	1	4	1	0	0										1004.9	1563.2	1020.2	1542.4	1000.9	1525.1	954.7	1510.6	877.9	1529.5	6
												AH	1		OF		780.6	1652	2699.1	138.6	265.8	365.1	645.528	645.498	645.588	0.09	6	3	2	2	0	0										765.6	1652.4	780.4	1650.6	773.2	1636.4	752	1603.2	718.1	1563	5
												AW	1		OUT		1005.9	1585.6	2729.1	75.8	185.1	269.1	645.963	645.948	646.048	0.1	42	1	4	1	0	0										1020.6	1582.7	1023.1	1582.5	977.8	1625	920.3	1728.9	863.1	1849.7	5
												AO	2		UNIFORM		690.6	1060.9	2230.9	163.3	93.3	156.1	646.454	646.437	646.488	0.051	64	6	4	2	1	3										655.4	1035.7	698.8	1067.4	753.8	1120.2	784.6	1168	803.1	1216.1	6
												AE	1		LAST		810.2	2087.7	3205.7	85.1	163.6	266.4	647.16	647.113	647.254	0.141	3	3	4	1	7	0										781.5	2092.2	813.3	2086.7	834.4	2045.2	823.1	1946.4	730.8	1783.8	4
												IY	1		WEEK		535	2374	3262.5	193.9	244.8	975.2	647.407	647.374	647.474	0.1	11	1	6	1	9	0										539.9	2189.7	533.5	2393.4	523.2	2521.5	525.4	2641.1	497.5	2750.1	4
												AA	1		JOHN		958.9	1716.4	2567.1	147.4	183.9	800.7	647.693	647.653	647.773	0.12	5	4	4	2	5	0										888.7	1828	967.7	1704.8	1032	1658.8	1063.9	1699.5	1017.2	1788.6	5
												AA	1		GOT		828.8	1893.7	2725	70.1	216.8	220.4	647.901	647.874	647.954	0.08	5	1	4	1	6	0										772.4	1973.6	832.7	1888	858.1	1840.4	856.5	1806.2	839.7	1800.4	5
												EH	1		SUSPENDED		892.9	1736.3	2713.7	96.1	244.3	620.7	648.227	648.204	648.274	0.07	2	4	4	2	1	4										858.9	1674	894.9	1745	908.4	1844.3	898.9	1949.8	862.1	2021.7	5
												AH	0		SUSPENDED		638.4	2199	3460.1	121.6	276	161.7	648.361	648.344	648.394	0.05	6	1	4	2	3	0										646.7	2186.6	638.4	2199	621.1	2209.5	598.4	2206.1	572.2	2200.4	4
												IH	0		BECAUSE		498.8	2552.1	3125.6	243	182.8	795.9	648.483	648.463	648.524	0.061	1	1	6	1	1	1										502	2507	498.6	2556.3	490.5	2590.7	488.3	2613.7	501.1	2591.7	4
												AH	1		BECAUSE		786.1	1890.5	2671.4	206.6	300.2	570.5	648.611	648.594	648.644	0.05	6	3	4	2	6	0										799.4	1892	786.1	1890.5	748.7	1899.6	707.5	1930.3	670.1	1955.1	5
												IY	1		HE		467.7	2414.1	3181.7	195.8	224.5	857.2	648.75	648.723	648.804	0.081	12	0	0	0	0	0										594.9	2294.4	466.2	2418.5	456.6	2438.6	462.7	2447.8	479.3	2296.5	4
												EH	1		SAID		781.3	1894.4	3000.2	111.4	214.9	405.6	648.917	648.884	648.983	0.099	2	1	4	2	3	0										690.2	1894.9	793.2	1892.3	842.1	1867.4	838.2	1855.7	793	1835.4	5
												EH	1		DRESS		723.8	1723.3	2495.5	100.4	247.7	371.3	649.207	649.184	649.254	0.07	2	3	4	1	8	0										684	1766.4	728.5	1718.9	778.4	1688.9	807	1681.4	816.9	1695.8	5
												EH	1		DRESS		663	1753.4	2537.5	81.4	207	244.5	649.832	649.802	649.892	0.09	2	3	4	1	8	0										618.3	1811.3	667.1	1748.7	716.2	1699.9	767.7	1665	791.5	1663.6	5
												OW	1		CODE		725.4	1330	2584.7	324.2	364.8	766.4	650.031	650.022	650.132	0.11	62	1	4	2	6	0										678.9	1270.9	648.8	1236.6	620.8	1263	603.5	1371.1	580.7	1512.3	5
												AH	1		SUCKS		916.3	1478.5	2661.1	80.3	215.3	454.7	650.311	650.261	650.411	0.15	6	1	6	1	3	3										871.2	1535.7	917.9	1477	893.1	1504	865.3	1537.9	778.8	1544.8	5
												AY	1		I		959.6	1903.2	3226.7	129.9	203.2	551.8	651.131	651.132	651.182	0.05	41	0	0	0	0	0		s								934.4	1932.5	913.5	1985	890.2	2052.2	852.1	2092.5	816.8	2109	4
												OW	1		DON'T		738.3	1708.6	2674.5	97.8	186.7	297.6	651.229	651.212	651.282	0.07	62	4	4	2	3	0										729.6	1742.4	756.2	1626.3	768.8	1493.3	769.3	1419	759	1388	6
												IY	1		SEE		490.6	2717.2	3412	156.3	147.6	542	651.522	651.482	651.602	0.12	12	0	0	0	3	0										495.7	2654.3	490.2	2722.2	488.8	2692.2	481.4	2369.6	478.1	1845	4
												AO	1		WRONG		920.7	1399.1	2178.4	144.2	111.1	793.6	651.908	651.872	651.981	0.109	53	4	6	2	7	0										889.1	1371.5	924	1401	941.8	1407.2	950.5	1412.6	955.8	1415.8	6
												AE	1		THAT		914.6	2033.4	3079.8	101.2	232.5	417.1	652.472	652.382	652.652	0.27	3	1	4	1	3	0										846.6	2052.1	918	2026.5	916.9	1969.2	893.1	1914.9	870.6	1892.2	4
												IY	1		EVEN		436.3	2747.9	3311.1	197.1	1482.5	342.9	652.779	652.742	652.852	0.11	11	3	2	2	0	1										428.1	2150.4	437.2	2783.3	449.6	2880.3	463.8	2701.1	478.9	2441.3	4
												AY	1		MY		942.5	1774	3174.2	160.4	182.1	335.2	653.074	653.051	653.192	0.141	41	0	0	0	2	0										939.4	1813.4	893.4	1967.1	832	2117.1	767.6	2242.8	661.8	2136.2	5
												IY	1		EVEN		480.5	2783.1	3477.6	130	168.6	227	653.473	653.446	653.526	0.08	11	3	2	2	0	1										466.2	2852.2	481.5	2776.3	495.5	2687.1	506.4	2570.2	514.8	2367.7	4
												AY	1		MY		867.5	1758.8	2651.4	77.7	175.5	329	653.653	653.656	653.726	0.07	41	0	0	0	2	0										846.4	1959.2	832.1	2029.1	830.9	2082.3	845	2081.3	940.2	2182.1	5
												AA	1		FATHER		874.8	1491.6	2317.4	94.3	178.4	269.7	653.813	653.756	653.926	0.17	43	3	3	2	1	1										920	1662.3	885.1	1500.7	978.9	1583.4	982.3	1617.6	919.9	1592.2	5
												EH	1		SAYS		645.8	1694.8	2802.5	99.9	194.8	330.1	654.136	654.106	654.196	0.09	2	3	4	2	3	0										651.3	1693.2	643.3	1694.4	586.4	1694.6	540.8	1702.8	517.3	1724	5
												AE	1		THAT		791	1903.6	3082.3	129.3	229.1	402.9	654.318	654.275	654.405	0.13	3	1	4	1	3	0										734.6	1836.8	798	1907	832.7	1884.8	814.6	1846.2	819	1867.2	4
												OW	1		KNOW		800.9	1614.5	2612.1	139.3	230.8	129.3	654.657	654.646	654.736	0.09	63	0	0	0	4	0										803.4	1552.9	788.7	1396.7	761	1267.6	717.9	1145.3	677.3	1051.7	6
												AY	1		I		738.1	2208.6	2361.8	101.7	623.5	1033.1	654.873	654.886	654.946	0.06	41	0	0	0	0	0		m								727.3	2005.4	735.3	2131.2	737.9	2220.6	730.9	2224.2	720	2154	5
												IY	1		MEAN		768.6	2684.7	3469.6	197.4	239.9	560.5	655.049	655.016	655.115	0.099	11	4	4	2	2	0										771.5	2676.2	767.7	2685	777	2681	775.5	2651.6	763.2	2572.5	4
												OW	1		SO		696.1	1420.9	2620.9	111.3	116.5	199	656.052	656.037	656.097	0.06	63	0	0	0	3	0										683.3	1426.5	719.6	1416.5	752.3	1421.4	786.1	1446.3	814.3	1487	5
												AE	1		THAT		777.3	1934.7	3363.2	139	226.2	1048.7	656.569	656.536	656.636	0.1	3	1	4	1	3	0										733.1	1919.5	781.7	1936.4	798	1954.9	759.1	1950.7	679	1899.5	4
												UW	1		SCHOOL		551.1	1025.3	2571	193.7	347.7	622.7	656.813	656.796	656.847	0.051	72	5	4	2	6	0										593	1067.7	550.2	1016.2	567.8	996.2	580.8	1006.5	584.6	1019.2	5
												AO	1		CAUGHT		862.8	1353.7	2692	97.7	136.8	215.8	672.621	672.568	672.728	0.16	53	1	4	1	6	0										863.9	1353.7	864.4	1356.3	882.5	1368.2	883.8	1370.1	893.4	1389.3	5
												AA	1		DON		874.5	1436.3	1849.7	119.7	193.1	375.3	676.667	676.6	676.8	0.2	5	4	4	2	3	0										870.5	1658.6	874.9	1437.4	858.7	1459.9	828.9	1488.1	820.5	1544.8	6
												AO	1		DAWN		894.3	1302	1653.9	118.7	138.4	1567.6	677.01	676.95	677.13	0.18	53	4	4	2	3	0										837.8	1312.6	896.7	1301.3	910.2	1273.1	909.3	1265.1	882.7	1322.5	6
												AA	1		FATHER		922.1	1612.9	2777.9	55.1	159.4	606.1	679.57	679.507	679.697	0.19	43	3	3	2	1	1										866.8	1554.2	925.5	1613.9	963.5	1618.4	968	1629.7	909.1	1685.9	5
												ER	0		FATHER		642.1	1852.8	2168.7	65.7	267.8	391.1	679.82	679.767	679.927	0.16	94	0	0	0	3	0										650.7	1898.6	641.2	1840.8	636	1785.9	631.8	1763.8	628.5	1741.6	5
												AA	1		BOTHER		965.7	1601.4	3155.1	97	228.7	709.4	680.244	680.167	680.397	0.23	5	3	3	2	1	1										898	1615.8	968.1	1601.1	962	1601.2	957.8	1631.9	908	1677.3	4
												ER	0		BOTHER		668.9	1803.9	2238.1	72.2	225	254.5	680.537	680.477	680.657	0.18	94	0	0	0	3	0										712.1	1866.4	663.7	1798.4	668.6	1791.1	675.2	1851.1	763.1	1890.5	5
												EY	1		THEY		670.7	2165.7	3056.7	69.7	129.2	166.8	681.974	681.962	682.042	0.08	22	0	0	0	3	0										667.4	2184.4	660.9	2191.9	651.4	2130.2	632.5	1934.5	605.6	1589.9	5
												AY	1		RHYME		929.3	1711.2	2009.3	151.1	317.8	572.1	682.158	682.122	682.262	0.14	41	4	1	2	7	0		s								922.6	1709.9	926.2	1781.1	885.4	1844.6	823.6	1851.9	772.3	1753.2	6
												AE	1		YEAH		823.5	2264.8	3145.8	100.8	174.4	183.1	682.398	682.372	682.451	0.079	3	0	0	0	9	0										790	2355.2	830.6	2249.6	870.4	2172.3	910	2082.3	935.5	1976	4
												IH	1		NEARER		612.1	2623.2	3168.4	243.2	133.9	302.4	685.142	685.099	685.229	0.13	14	6	4	2	4	1										589.8	2770.7	616.4	2604.9	668.7	2475.7	672.4	2333.7	698.4	2139.3	5
												ER	0		NEARER		710.5	1860.2	1944.2	256.9	215.1	501.8	685.319	685.279	685.399	0.12	94	0	0	0	7	0										685.7	1800.2	712.3	1866.1	679	1861.9	673.7	1850.2	683.5	1783.2	5
												IH	1		MIRROR		624.1	2617.2	2845.8	222.9	206.3	366	685.559	685.519	685.639	0.12	14	6	4	2	2	1										629.7	2674.3	622.4	2601.8	630.8	2427.3	646	2239.8	650.6	2064	5
												ER	0		MIRROR		689.2	1807	2027.6	83	86.1	702.3	685.751	685.698	685.858	0.16	94	0	0	0	7	0										685.9	1781.9	690	1811.7	715.4	1821.4	715.8	1846.3	749.5	1852.3	6
												UW	1		FOOL		502.4	883.5	2209	52.8	239.4	1038.5	688.784	688.737	688.877	0.14	72	5	4	2	1	0										500	895.7	500.8	887.4	490.1	913.9	488.8	931	486.9	935.3	6
												AA	1		FARM		873.3	1479.1	2300.7	96.2	186.6	895.3	708.025	707.975	708.125	0.15	44	6	4	2	1	3										800.6	1403.5	882.4	1489.5	919.5	1579.2	901	1615.2	886.2	1673.4	6
												AH	1		DUSK		829.9	1763.9	2973.6	64.1	153.5	374.7	708.458	708.415	708.545	0.13	6	3	4	1	3	3										796.4	1812.2	831.1	1757.2	840.3	1714	844.5	1703	843.2	1691.5	4
												AY	1		SIGHT		820.2	1659.4	2781.9	84.1	142.1	192.1	708.958	708.925	709.054	0.129	47	1	4	1	3	0										808.5	1599.3	804.8	1782.4	725.4	2027.9	602	2368	499.3	2218.2	5
												AA	1		SOCKS		1036.1	1732.4	2824.3	101.1	197.5	290.3	709.435	709.375	709.554	0.179	5	1	6	1	3	3										962.6	1769.6	1041.2	1723.6	1079.9	1669.8	1065.2	1684.2	1032.5	1745.3	4
												EH	2		ELEMENTARY		1007.8	1874.9	2984.2	166.9	295.4	609.3	709.778	709.755	709.825	0.07	2	5	4	2	0	2										1081.5	2151	999.3	1844.4	947.8	1683.9	942	1669.7	923.5	1635.5	5
												EH	1		ELEMENTARY		838.7	2086.8	2436.4	53.1	127.3	2557	710.045	710.025	710.085	0.06	2	4	4	2	2	5										839.5	2068.6	838.3	2089.5	833.4	2116.4	826.5	2147.5	817.5	2014.2	5
												ER	0		ELEMENTARY		664.2	2067.9	2558.3	94.3	128.4	295	710.278	710.255	710.325	0.07	94	6	4	2	3	1										656.9	2088.2	665.1	2065.4	669.2	2027.8	670.8	1992.5	670.1	1950.5	5
												IY	0		ELEMENTARY		663	2127	2662.4	144.3	293.4	213	710.398	710.365	710.465	0.1	12	0	0	0	7	0										674.8	2105.6	660.5	2125.1	642.1	2171.8	645.3	2242.7	661.1	2104.1	5
												AY	1		HIGHSCHOOL		960.4	1790.2	2739.7	153.1	363.1	506.2	710.59	710.585	710.685	0.1	47	3	4	1	0	4										930.2	1901.7	847.7	2068.9	746	2260.2	647.7	2467.7	597.4	2534.7	4
												OW	1		BOAT		645.2	1041.7	2827.9	130.1	75.9	515.9	711.285	711.245	711.405	0.16	62	1	4	1	1	0										646.5	1047.2	644.1	1030.2	779.1	1391	793.1	1478.8	548.4	1375.1	5
												AY	1		SLIDER		955.5	1652.7	2787.9	87.7	173.2	220.2	712.125	712.092	712.232	0.14	41	1	4	2	8	1										951.6	1593.4	914.2	1839.4	816.5	2055	731.8	2222.3	639.9	2210	5
												ER	0		SLIDER		680	1822.9	2193.6	50.3	265.6	156.1	712.349	712.292	712.462	0.17	94	0	0	0	3	0										682.5	1931.2	679.8	1819.6	675.2	1834.1	673.1	1877.8	675.1	1794.9	5
												IH	1		SIX		660.3	2108.1	3042.4	132.9	160.9	581.7	713.243	713.216	713.296	0.08	1	1	6	1	3	3										620.7	2057.8	662.6	2112.5	675.5	2162.4	653.9	2200.8	601.2	2216.4	5
												AY	1		TIGER		1013.6	1809.2	2675.3	210.2	463.8	763.4	713.674	713.665	713.836	0.171	41	1	6	2	3	1										972.7	1746.9	890.9	1984.1	767.2	2199	642	2540.3	549.3	2559.3	5
												ER	0		TIGER		641.8	1760.4	2039.9	93	289.9	153.8	713.975	713.895	714.136	0.241	94	0	0	0	6	0										616.8	1728.4	642.1	1764.9	638.1	1834.6	656.4	1852	736.7	1936	5
												ER	1		BURN		811.5	1693.8	1874.7	115.3	277.1	265	714.653	714.556	714.846	0.29	94	4	4	2	1	0										768.3	1668.2	815.6	1702.5	826.6	1725.1	814.8	1763.5	793.1	1814.8	5
												AY	1		WRITING		766.3	1846.7	2141.6	94.3	338.1	589.5	715.35	715.336	715.456	0.12	47	1	4	1	7	1										757.5	1963.3	677.7	2120.2	620.9	2262.9	575.9	2518.4	515	2624.3	5
												OW	1		GO		692.4	1376.4	2749.6	55.2	80.2	294	715.855	715.826	716.196	0.37	63	0	0	0	6	0										758.4	1275.6	706.3	1141.3	617.3	1027	596.3	940.1	613.2	858.7	5
												AO	1		STALKS		919.5	1300.9	2416.5	99	157.4	320.9	716.516	716.446	716.656	0.21	53	1	6	1	3	3										883.5	1374.3	921	1295.7	924.3	1276.1	918	1290.3	865.4	1319.7	5
												IH	2		INVENTORY		723.9	2469.2	3559.9	122.9	210.6	226.5	718.462	718.445	718.495	0.05	1	4	4	2	0	5										728.3	2483	723.9	2469.2	720.1	2438.2	721.7	2404.4	736.9	2374.5	5
												AO	1		INVENTORY		701.5	1477.5	2446.8	205.3	414.5	726.2	718.842	718.825	718.875	0.05	64	6	4	2	3	1										697.3	1533.1	701.5	1477.5	699.2	1402.5	702	1359.6	705.1	1345.9	5
												IY	0		INVENTORY		687	2351.1	2833.8	289.1	224	1146.5	719.048	718.995	719.154	0.159	12	0	0	0	7	0										696.3	2183.5	686.5	2384.3	659.1	2514.8	665.4	2544.3	705.5	2513.8	4
												ER	1		FIRM		784.1	1717.3	1962	135.5	302.3	181.2	719.943	719.853	720.123	0.27	94	4	1	2	1	0										793.7	1696.4	781.6	1714.6	769.1	1709.2	749.6	1684.3	740.5	1695.9	5
												AY	1		SPIDER		893.8	1642.4	2730.3	309.6	311.2	689.2	720.81	720.813	720.973	0.16	41	1	4	2	1	1										876	1635	862.6	1880.7	777.5	2059.6	672.8	2182.8	647.7	2278.1	5
												ER	0		SPIDER		665.7	1955	2255.7	45.4	121.9	399.5	721.096	721.023	721.243	0.22	94	0	0	0	3	0										667.3	1965.5	665.9	1956.1	665.7	1958.4	666.1	1946.7	704.5	1820.5	5
												EH	1		DESK		944.4	1885.3	2789.6	58.6	170.5	263	721.536	721.473	721.663	0.19	2	3	4	1	3	3										811.4	1979	956.4	1880.2	984.4	1835.6	953.3	1826.5	881.7	1842.5	5
												UW	2		RUDIMENTARY		508.6	1574.9	2176.8	205.5	515.2	325.3	722.14	722.133	722.193	0.06	73	1	4	2	7	2										508.6	1574.9	497.8	1640.2	498.3	1676.1	489.7	1748.5	480.9	1826.3	5
												EH	1		RUDIMENTARY		897.2	2010.1	3324.5	138.1	141.9	308.4	722.35	722.333	722.383	0.05	2	4	4	2	2	5										896.3	1998	897.2	2010.1	891.8	2035.9	878.7	2054.3	860	2063	4
												ER	0		RUDIMENTARY		674.8	2036.3	2533.7	53.1	154.5	312.5	722.633	722.583	722.733	0.15	94	0	0	0	3	1										677.1	2076.3	674.4	2032.3	668.9	1995	666.3	1978.8	662.1	1985.9	5
												IY	0		RUDIMENTARY		613.2	2486	3013.2	218.1	270.1	693.9	722.79	722.733	722.903	0.17	12	0	0	0	7	0										658.5	2392	609.1	2497.1	565.9	2658.4	572.2	2739	604.7	2448.1	4
												OW	1		HOME		733	1132.6	2965.5	196.5	168.1	442.2	724.756	724.735	724.905	0.17	62	4	1	2	0	0										771	1260.6	734.1	1198.7	755.8	1460.1	761.6	1649.6	716.4	1389.2	5
												EH	1		SEX		882.8	1927.5	2879.6	55.8	124.9	153.9	725.282	725.235	725.375	0.14	2	1	6	1	3	3										762.3	1954.2	891.1	1922.6	962.8	1873	986.5	1880.4	941.1	1934.4	4
												AY	1		TIED		1054.1	1706.4	2649.7	82.5	201.5	265	725.902	725.864	726.165	0.301	41	1	4	2	3	0										1048.6	1727	1023.6	1896	826.8	2136.4	666.2	2210.6	634.8	2137	5
												AE	1		BAG		846.3	2286.8	3188.8	89.7	158.3	388.2	726.458	726.344	726.685	0.341	3	1	6	2	1	0										817	2288.9	852.4	2279.3	970.5	2136.4	1019.3	2024.2	943.6	1946.1	4
												OW	1		NO		863.9	1800.2	2955.6	100.7	204.2	580.1	727.023	726.995	727.335	0.34	63	0	0	0	4	0										884.3	1468.9	792.5	1230.1	619.8	1037.5	738.4	2161.1	591.3	895.2	5
												AY	1		RIDING		984.8	1581.7	2447.5	54.5	300	360	727.915	727.859	728.019	0.16	41	1	4	2	7	1										950.9	1464.3	984.8	1581.7	941.4	1882.9	801.9	2212.2	647.7	2409.5	5
												IH	0		RIDING		556.5	2566.9	3380.4	114.5	268.6	400.1	728.072	728.049	728.119	0.07	1	4	6	2	3	0										518.4	2508.7	561.1	2572.3	610.8	2626	642.4	2657.8	661.3	2685.7	4
												AE	1		SACKS		829.9	2216.1	3129.7	91	150.1	324.4	728.499	728.429	728.638	0.209	3	1	6	1	3	3										752.2	2165.1	834	2213.9	898.9	2160.3	981.1	2065.8	970.8	2019	4
												EH	2		SEDIMENTARY		797.4	1754.2	2817.1	103.2	217.4	303.3	729.026	728.999	729.079	0.08	2	1	4	2	3	2										733.8	1717.3	802	1758.1	837.8	1797.9	837.7	1835	802.3	1849.7	5
												ER	0		SEDIMENTARY		679.7	2126.6	2482	86.1	245	527.4	729.446	729.389	729.559	0.17	94	0	0	0	3	1										698.6	2164	680.3	2123.3	664.5	2011.2	649.7	1963.7	620.2	2014	5
												IY	0		SEDIMENTARY		566.2	2621.1	3322	227.7	325.8	1224.6	729.622	729.559	729.749	0.19	12	0	0	0	7	0										586.3	2462.3	563.2	2636.5	653.8	2753.8	638.7	2597.1	1206.5	2756.6	4
												AY	1		MINOR		1097.7	1807.9	3020.1	151.5	172	335.4	729.905	729.879	730.009	0.13	41	4	4	2	2	1										1097.7	1807.9	1054.1	1931.3	960.6	2103.2	872.9	2279.2	823.9	2468.7	5
												ER	0		MINOR		814	1895.8	2214.4	91.3	394.9	180.8	730.132	730.089	730.219	0.13	94	0	0	0	4	0										827.5	2010.7	811.1	1891.4	815.2	1877.9	812	1870.1	802.1	1839.1	5
												AA	1		MA		992.4	1435.3	1894.5	193.9	270.1	611.8	730.737	730.714	730.784	0.07	43	0	0	0	2	0										951.3	1440.9	996.6	1434.6	1023.1	1415.3	1035.1	1425.7	1033.7	1436.4	6
												AA	1		PA		1026.5	1576.3	2616.4	58.1	220.2	387.2	731.13	731.074	731.243	0.169	43	0	0	0	1	0										1031.6	1583.3	1025.3	1573.6	1025.8	1586.1	1033.5	1622.8	1029.9	1627.2	5
												EH	1		MARRY		766	2472.9	3061	206.5	311.4	622.6	732.535	732.488	732.628	0.14	2	6	4	2	2	1										730.8	2533.3	772.2	2464.9	782	2330.7	796.6	2191	793.5	2113.4	4
												IY	0		MARRY		632.4	2707.5	3026.9	282.6	130.8	1318.5	732.781	732.688	732.967	0.279	12	0	0	0	7	0										682.9	2578.6	625.7	2711.4	675.3	2774.9	607.5	2527.7	905.2	2320	4
												AY	1		TIED		1057.6	1717.3	2582.2	80.3	164.3	380.9	733.204	733.127	733.398	0.271	41	1	4	2	3	0										1054.3	1695	1051.5	1745.3	1009.1	1887.6	846	2134.1	662.7	2419.1	5
												AO	1		HORSE		650.9	1032.7	2090	150.5	109.8	141.8	735.88	735.853	735.934	0.081	64	6	4	2	0	3										633.8	974	652.4	1038.8	661.1	1110	661.9	1153.4	671.1	1223.1	6
												AY	1		SIDE		1022	1743.5	3044.8	135.1	216.2	1371	736.61	736.523	736.844	0.321	41	1	4	2	3	0										1005.7	1727.9	1004.8	1769.6	954.9	1893.2	751.9	2221.7	601	2598.8	4
												AH	1		SUCKS		902.7	1553.8	2579.5	67.5	196.5	511	737.227	737.184	737.314	0.13	6	1	6	1	3	3										871.8	1634.1	905.8	1547.7	918.5	1519.7	887.3	1538.3	855.8	1564.1	5
												EY	1		VAGUE		617.6	2465	3077	135.6	257.3	229.5	739.486	739.439	739.759	0.32	21	1	6	2	1	0										608	2574	538.1	2723.4	502.9	2792.1	496.8	2751.1	474.8	2804.4	5
												AY	1		MINER		948.2	1570	1795.3	226.8	209.2	1001.1	740.277	740.249	740.399	0.15	41	4	4	2	2	1		s								947.6	1581.2	898.3	1710.5	856.2	1757.6	768.5	1354.6	550.3	971.9	6
												ER	0		MINER		796.3	1930.6	2046	104	504.7	138.6	740.562	740.498	740.689	0.191	94	0	0	0	4	0										803.7	1986.5	794.7	1933.8	773.1	1912	876.9	1970.5	745.4	1120.2	6
												EH	1		MARY		713.5	2438.7	3277	146.8	197.9	680	740.942	740.899	741.029	0.13	2	6	4	2	2	1										713.3	2500.9	714.1	2428.9	734.8	2336.2	760.7	2235.9	798.9	2109.7	4
