v	N	f1_man_mean	f1_auto_mean	f1_diff	f2_man_mean	f2_auto_mean	f2_diff	f1_man_sd	f1_auto_sd	f2_man_sd	f2_auto_sd	f1_rmse	f2_rmse	f1_diff_mean	f1_diff_sd	f2_diff_mean	f2_diff_sd	f1_abs_diff_mean	f1_abs_diff_sd	f2_abs_diff_mean	f2_abs_diff_sd	f1_p	f1_t	f2_p	f2_t	f1_p_paired	f1_t_paired	f2_p_paired	f2_t_paired	f1_r	f2_r
AO_L	11	621.9091	605.3182	16.59091	953.4545	953.3636	0.09090909	41.78147	45.84113	76.99398	98.60896	41.61513	60.92045	16.59091	40.0277	0.09090909	63.89384	30.93636	29.19309	37.2	50.5985	0.3856286	0.8871555	0.9981024	0.002410025	0.1992449	1.374693	0.9963277	0.004718942	0.5860367	0.7619155
AO_E	6	665.6667	643.6	22.06667	1082.833	1099.417	16.58333	18.6619	11.43573	115.861	94.67319	28.67705	60.60653	22.06667	20.06297	-16.58333	63.85745	22.06667	20.06297	49.11667	38.89532	0.03773621	2.469592	0.791753	-0.2714886	0.04308575	2.694122	0.5526754	-0.6361154	0.1792772	0.834585
IY_N	2	456.5	426.15	30.35	1991	2003.2	12.2	43.13351	47.16402	36.76955	85.27708	30.48352	36.40508	30.35	4.030509	-12.2	48.50753	30.35	4.030509	34.3	17.25341	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AA_N	4	738.75	728.675	10.075	1362	1353.95	8.05	51.84834	64.49209	93.19871	115.9915	18.18042	26.90288	10.075	17.47462	8.05	29.64147	14.525	12.62547	24.3	13.33042	NA	NA	NA	NA	NA	NA	NA	NA	0.9782436	0.9833904
OY_E	2	503.5	478	25.5	734.5	748	13.5	17.67767	23.90021	34.64823	51.05311	38.91799	17.79916	25.5	41.57788	-13.5	16.40488	29.4	36.06245	13.5	16.40488	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
UW_N	2	477.5	477.4	0.1	1235.5	1241.85	6.35	20.5061	26.87006	170.4127	160.7254	4.501111	9.340503	0.1	6.363961	-6.35	9.687363	4.5	0.1414214	6.85	8.980256	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
OW_L	1	480	479.6	0.4	868	1147.5	279.5	NA	NA	NA	NA	0.4	279.5	0.4	NA	-279.5	NA	0.4	NA	279.5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
OY_N	1	567	561	6	949	1072.6	123.6	NA	NA	NA	NA	6	123.6	6	NA	-123.6	NA	6	NA	123.6	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AO_N	2	640	622.95	17.05	1064	1044.05	19.95	11.31371	0.4949747	111.7229	107.4095	18.98486	20.1818	17.05	11.80868	19.95	4.313351	17.05	11.80868	19.95	4.313351	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
EY_N	1	611	613.2	2.2	1605	1537.8	67.2	NA	NA	NA	NA	2.2	67.2	-2.2	NA	67.2	NA	2.2	NA	67.2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
