v	N	f1_man_mean	f1_auto_mean	f1_diff	f2_man_mean	f2_auto_mean	f2_diff	f1_man_sd	f1_auto_sd	f2_man_sd	f2_auto_sd	f1_rmse	f2_rmse	f1_diff_mean	f1_diff_sd	f2_diff_mean	f2_diff_sd	f1_abs_diff_mean	f1_abs_diff_sd	f2_abs_diff_mean	f2_abs_diff_sd	f1_p	f1_t	f2_p	f2_t	f1_p_paired	f1_t_paired	f2_p_paired	f2_t_paired	f1_r	f2_r
AE_E	38	533.3684	538.4842	5.115789	2385.684	2434.924	49.23947	57.23183	47.74355	190.2756	165.1142	34.22474	135.4998	-5.115789	34.29448	-49.23947	127.9311	21.96316	26.60024	84.85526	107.0579	0.6734731	-0.4231216	0.2321801	-1.20484	0.3637591	-0.9195602	0.02297185	-2.372625	0.8012619	0.7496074
AA_E	33	921.0606	886.0939	34.96667	1699.879	1669.155	30.72424	84.94812	85.74639	104.5573	160.3418	50.02087	169.4354	34.96667	36.32356	30.72424	169.21	41.60909	28.19321	71.42727	156.0263	0.1009649	1.664186	0.3605309	0.922041	4.249339e-06	5.52997	0.3047337	1.043067	0.9094752	0.2388828
EY_N	9	576.5556	579.4889	2.933333	2442	2475.844	33.84444	39.37039	59.6227	170.4311	184.4066	51.89656	139.8535	-2.933333	54.95662	-33.84444	143.9279	38.77778	36.58182	112.9556	87.46449	0.9037439	-0.1231656	0.6913419	-0.4043499	0.8767509	-0.1601263	0.5005544	-0.7054459	0.4440426	0.6735471
IY_E	23	419.1304	416.8783	2.252174	2546.696	2546.726	0.03043478	44.81711	45.21398	171.18	184.5202	21.32688	89.09467	2.252174	21.68426	-0.03043478	91.09704	15.14783	15.35003	61.88261	65.53738	0.8660538	0.1696618	0.9995399	-0.000579909	0.6233527	0.4981054	0.998736	-0.001602248	0.8840162	0.8714514
EY_L	1	617	634.9	17.9	1975	2191.7	216.7	NA	NA	NA	NA	17.9	216.7	-17.9	NA	-216.7	NA	17.9	NA	216.7	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
EH_R	9	511.2222	537.4556	26.23333	2220.111	2221.178	1.066667	73.29526	75.73857	182.2536	161.8777	34.48786	76.86644	-26.23333	23.7461	-1.066667	81.52132	30.34444	17.38405	56.8	54.93164	0.4660873	-0.7467007	0.9896906	-0.01312747	0.01063105	-3.314228	0.9696502	-0.03925354	0.9497496	0.8944074
AA_N	6	910.8333	874.5333	36.3	1814	1795.717	18.28333	65.85565	65.62974	107.9963	86.34085	51.18304	56.99297	36.3	39.52741	18.28333	59.13292	40.13333	34.79688	42.55	41.53595	0.3614416	0.956355	0.7530044	0.3238996	0.07432452	2.249489	0.4829787	0.7573589	0.8192581	0.8376457
OW_E	31	617.3548	622.1968	4.841935	1041.387	1141.626	100.2387	66.15212	78.60369	127.2755	186.6103	49.67456	172.7683	-4.841935	50.25523	-100.2387	143.0423	29.40968	40.69464	123.2581	123.0645	0.7939315	-0.2624086	0.01673504	-2.470789	0.5956126	-0.5364369	0.000499948	-3.901681	0.7720541	0.6433719
AH_N	6	902.5	901.8	0.7	1296.667	1305.517	8.85	29.01551	42.39443	104.1204	101.2032	27.12342	30.31883	0.7	29.70232	-8.85	31.76619	22.8	16.09373	24.51667	19.53964	0.9741158	0.03337632	0.8842896	-0.149297	0.9562016	0.05772757	0.5252974	-0.6824231	0.7141555	0.9525221
UW_N	2	427.5	414.05	13.45	1116	1378.05	262.05	23.33452	30.19346	90.50967	472.9837	14.29773	376.5812	13.45	6.858936	-262.05	382.4741	13.45	6.858936	270.45	370.5947	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
IH_N	8	596.125	557.85	38.275	2230.875	2137.738	93.1375	43.87462	42.01884	96.58666	225.8479	44.27056	206.1607	38.275	23.78251	93.1375	196.6219	38.275	23.78251	114.2625	183.4474	0.09647923	1.782025	0.3100617	1.072458	0.00262982	4.552002	0.2221718	1.339793	0.8475331	0.4968409
AO_E	13	903	874.3154	28.68462	1285.615	1323.331	37.71538	73.87828	47.03001	112.6644	199.8093	72.64029	206.8532	28.68462	69.46189	-37.71538	211.6907	49.68462	55.15483	92.88462	192.3731	0.2512425	1.180941	0.5603138	-0.5928259	0.1623101	1.488929	0.5327108	-0.6423748	0.4093927	0.1733358
