v	N	f1_man_mean	f1_auto_mean	f1_diff	f2_man_mean	f2_auto_mean	f2_diff	f1_man_sd	f1_auto_sd	f2_man_sd	f2_auto_sd	f1_rmse	f2_rmse	f1_diff_mean	f1_diff_sd	f2_diff_mean	f2_diff_sd	f1_abs_diff_mean	f1_abs_diff_sd	f2_abs_diff_mean	f2_abs_diff_sd	f1_p	f1_t	f2_p	f2_t	f1_p_paired	f1_t_paired	f2_p_paired	f2_t_paired	f1_r	f2_r
IH_E	8	661.75	637.275	24.475	1746.875	1786.3	39.425	34.87426	76.98838	189.1344	237.0915	64.02273	123.1261	24.475	63.24451	-39.425	124.6971	38.05	55.04396	60.325	114.7466	0.4323047	0.8190576	0.7188853	-0.3676716	0.3099308	1.094573	0.400887	-0.8942526	0.5854113	0.8522652
AA_R	6	911.3333	879.35	31.98333	1600.167	1590.317	9.85	141.1774	138.0053	39.48882	37.59412	54.10993	50.16272	31.98333	47.81152	9.85	53.88071	35.18333	45.03356	36.15	38.09686	0.6998383	0.3968238	0.66755	0.4425246	0.162227	1.638577	0.6730366	0.4477943	0.9415939	0.02342577
AY_E	28	875.3929	887.1429	11.75	1626.571	1637.839	11.26786	119.3583	127.9544	187.3395	148.7655	40.05099	83.38101	-11.75	38.99123	-11.26786	84.13217	22.16429	33.97119	58.08214	60.92133	0.7237385	-0.355323	0.8041687	-0.2492406	0.1224436	-1.594593	0.4845894	-0.7086932	0.9526459	0.899707
OW_E	27	742.1111	689.2333	52.87778	1274.407	1311.53	37.12222	157.6633	109.615	188.0586	178.3954	94.93021	120.0662	52.87778	80.34147	-37.12222	116.3585	75.73704	58.32352	84.95926	86.45616	0.1591722	1.430869	0.4601446	-0.74415	0.002077697	3.419915	0.1093877	-1.657745	0.8800472	0.7996064
AH_L	1	827	791.1	35.9	1302	1266.1	35.9	NA	NA	NA	NA	35.9	35.9	35.9	NA	35.9	NA	35.9	NA	35.9	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AA_E	39	985	953.3795	31.62051	1642.128	1637.038	5.089744	75.51333	100.1789	107.2935	148.9366	67.50352	76.00572	31.62051	60.41912	5.089744	76.82646	39.76923	55.25782	49.95128	58.03534	0.1199382	1.574075	0.8630308	0.1731617	0.002300289	3.268337	0.6813974	0.4137303	0.7989327	0.8695815
IH_L	1	737	748.4	11.4	1673	1641.2	31.8	NA	NA	NA	NA	11.4	31.8	-11.4	NA	31.8	NA	11.4	NA	31.8	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ER_R	13	634.2308	638.7154	4.484615	1688.615	1675.108	13.50769	49.35949	59.89093	108.0174	95.63989	30.29716	47.4285	-4.484615	31.18691	13.50769	47.32078	23.17692	20.30953	38.13846	29.3456	0.8367824	-0.2083437	0.7386628	0.3375727	0.6135561	-0.5184711	0.3236832	1.029203	0.8542527	0.8990369
IY_N	4	552.5	551.6	0.9	2835.25	2714.375	120.875	56.85948	38.93251	106.5501	313.2233	25.28369	248.366	0.9	29.17659	120.875	250.5325	19.5	18.58368	136.825	239.3452	NA	NA	NA	NA	NA	NA	NA	NA	0.8803132	0.6995755
EY_E	19	611	631.2053	20.20526	2205.105	2161.747	43.35789	65.47858	69.38812	173.9444	236.3092	39.0236	123.1279	-20.20526	34.3003	43.35789	118.3993	26.13158	29.77663	82.44211	93.95979	0.3620991	-0.9231435	0.5239583	0.6440901	0.01936903	-2.567695	0.1278439	1.596232	0.8722084	0.8767899
AE_N	8	643.625	611.6	32.025	2540.125	2495.775	44.35	79.38502	60.37069	335.0968	327.6946	59.55567	118.0788	32.025	53.67923	44.35	116.9893	43.325	43.68487	87.675	84.55392	0.3802012	0.9082319	0.7928816	0.2676392	0.1353773	1.687438	0.3191802	1.072241	0.7370997	0.9379302
AH_E	25	848.84	826.5	22.34	1397.16	1389.148	8.012	76.49111	84.62656	86.93996	99.19643	42.91748	37.34591	22.34	37.40035	8.012	37.22853	30.46	30.85751	27.908	25.32828	0.3324397	0.9792015	0.762686	0.3037073	0.0064063	2.986603	0.2926007	1.076056	0.8970676	0.9283556
AW_E	11	995	941.7545	53.24545	1602.455	1634.527	32.07273	87.08157	65.95752	94.76747	135.927	73.89736	90.67473	53.24545	53.74304	-32.07273	88.95264	56.00909	50.55869	77.07273	50.09862	0.1227772	1.616565	0.5290542	-0.6419563	0.008206451	3.285917	0.2593444	-1.195841	0.7874109	0.7586273
AO_L	9	938	932.1778	5.822222	1385.111	1378.711	6.4	96.35611	77.53907	113.4696	121.9906	50.06034	27.90492	5.822222	52.73668	6.4	28.80868	36.22222	36.6502	23.51111	15.94212	0.8895354	0.1412244	0.9096939	0.115243	0.7489984	0.3312053	0.5238642	0.6664658	0.8375748	0.9726441
EH_R	12	668	682.025	14.025	2008	2007.675	0.325	68.20024	69.74246	121.0928	106.1593	24.47061	34.32301	-14.025	20.94435	0.325	35.84761	16.14167	19.20958	25.79167	23.65339	0.6233858	-0.4980611	0.994486	0.0069911	0.04060123	-2.319672	0.9755083	0.03140608	0.9541373	0.9586918
AH_N	8	829.375	781.1875	48.1875	1362.25	1350.362	11.8875	76.76855	102.9555	67.05595	106.6047	77.73071	68.87393	48.1875	65.20323	11.8875	72.52433	58.5375	54.67227	57.0625	41.23092	0.3079649	1.061271	0.7941015	0.2669743	0.07493594	2.090308	0.6569986	0.4636089	0.7744293	0.741506
EH_N	11	878.9091	845.2	33.70909	1710.818	1706.573	4.245455	116.843	113.2512	62.17848	75.0438	55.66331	54.21148	33.70909	46.45762	4.245455	56.68286	45.03636	34.30951	41.42727	36.67332	0.4999376	0.687068	0.8866163	0.1444809	0.03690328	2.406503	0.8088443	0.2484098	0.9189348	0.6734506
EH_E	28	886.4286	849.3857	37.04286	1708.786	1722.171	13.38571	79.10445	88.72196	80.76961	80.53586	55.87837	58.74779	37.04286	42.60331	-13.38571	58.25217	41.82143	37.73891	43.95	39.69868	0.1050252	1.649021	0.5372174	-0.620992	8.901996e-05	4.600872	0.2345361	-1.21593	0.8772819	0.7391746
AO_E	9	930.6667	917.1222	13.54444	1390.444	1399.633	9.188889	49.05099	52.51661	50.99782	79.2179	27.12746	47.6415	13.54444	24.92996	-9.188889	49.58262	20.36667	19.00618	35.27778	33.96085	0.5796515	0.565444	0.774228	-0.2925967	0.1417702	1.6299	0.5934328	-0.5559744	0.8816976	0.794296
AE_L	1	668	671.2	3.2	1930	2038.6	108.6	NA	NA	NA	NA	3.2	108.6	-3.2	NA	-108.6	NA	3.2	NA	108.6	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
IH_N	2	646	622.75	23.25	2162	2183.9	21.9	50.91169	24.11234	316.7838	313.814	29.99442	22.00045	23.25	26.79935	-21.9	2.969848	23.25	26.79935	21.9	2.969848	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
OW_N	6	753	679.3333	73.66667	1136.833	1199.617	62.78333	152.5411	138.2156	140.082	176.0536	96.30336	85.50989	73.66667	67.94903	-62.78333	63.59429	73.66667	67.94903	68.08333	56.67382	0.4014613	0.8766079	0.5105554	-0.6835467	0.0451215	2.655604	0.06024708	-2.418254	0.8953723	0.9442405
AA_N	5	1160.4	1066.32	94.08	1734.6	1719.06	15.54	17.98055	26.27255	65.19816	71.78867	95.11645	49.83707	94.08	15.65621	15.54	52.94151	94.08	15.65621	35.94	38.60133	0.0002888772	6.607853	0.7294591	0.3583193	0.00017746	13.43679	0.5474347	0.6563564	0.8133345	0.7052265
EH_L	2	963.5	941.5	22	1624.5	1663.15	38.65	24.74874	53.74012	12.02082	31.04199	30.07075	40.9234	22	28.99138	-38.65	19.02117	22	28.99138	38.65	19.02117	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
IY_L	3	528.6667	487.4333	41.23333	2137	2558.967	421.9667	65.39368	72.09122	545.891	542.0292	43.74109	472.6687	41.23333	17.87857	-421.9667	260.8443	41.23333	17.87857	421.9667	260.8443	NA	NA	NA	NA	NA	NA	NA	NA	0.9708561	0.88505
OY_E	3	595.3333	614.3333	19	1078	1172.1	94.1	27.46513	55.09667	187.9255	262.9866	29.88879	116.6293	-19	28.25792	-94.1	84.38821	19	28.25792	94.1	84.38821	NA	NA	NA	NA	NA	NA	NA	NA	0.9884328	0.9849541
AW_N	3	986.6667	884.9	101.7667	1699	1761.233	62.23333	69.89516	143.2384	115.8577	124.763	123.8312	93.15899	101.7667	86.40934	-62.23333	84.90238	101.7667	86.40934	62.23333	84.90238	NA	NA	NA	NA	NA	NA	NA	NA	0.8957546	0.7533992
