v	N	f1_man_mean	f1_auto_mean	f1_diff	f2_man_mean	f2_auto_mean	f2_diff	f1_man_sd	f1_auto_sd	f2_man_sd	f2_auto_sd	f1_rmse	f2_rmse	f1_diff_mean	f1_diff_sd	f2_diff_mean	f2_diff_sd	f1_abs_diff_mean	f1_abs_diff_sd	f2_abs_diff_mean	f2_abs_diff_sd	f1_p	f1_t	f2_p	f2_t	f1_p_paired	f1_t_paired	f2_p_paired	f2_t_paired	f1_r	f2_r
EH_E	25	687.24	664.016	23.224	1635.64	1652.12	16.48	52.80489	53.83149	78.51957	100.4267	39.36106	60.42907	23.224	32.43485	-16.48	59.33733	26.904	29.3234	39.368	46.79112	0.1301508	1.539914	0.5212893	-0.6463819	0.001510519	3.5801	0.1776871	-1.388671	0.8151379	0.8071771
OY_N	2	680	694.55	14.55	982	1159.45	177.45	28.28427	39.66869	176.7767	365.6449	50.20463	222.0903	-14.55	67.95296	-177.45	188.8682	48.05	20.57681	177.45	188.8682	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AE_N	18	616.8333	608.4111	8.422222	2003.167	2006.128	2.961111	45.5118	47.36917	81.85586	112.0621	23.93707	67.26694	8.422222	23.05606	-2.961111	69.15002	17.97778	16.26272	48.81667	47.62102	0.5900264	0.5439568	0.928448	-0.0905278	0.1396029	1.549808	0.8579853	-0.1816765	0.8775122	0.7890913
EY_E	21	509.0952	522.3524	13.25714	2023.286	2059.029	35.74286	46.71606	40.80047	202.5624	209.7548	22.44547	151.7081	-13.25714	18.55935	-35.74286	151.0784	16.51429	15.57663	97.55238	119.0539	0.3333371	-0.9794778	0.5774477	-0.5617155	0.00380151	-3.273383	0.2911875	-1.084168	0.9188223	0.7320099
EH_N	14	720.4286	705.9429	14.48571	1695.429	1720.95	25.52143	34.35049	63.02685	106.1282	142.1545	52.94123	78.54128	14.48571	52.84312	-25.52143	77.08309	40.32857	35.59314	57.59286	55.41808	0.4589505	0.7550951	0.5953255	-0.5382861	0.3237462	1.025689	0.2373127	-1.238825	0.5450212	0.8460915
EY_N	7	591.8571	586.9429	4.914286	1984	1977.214	6.785714	67.24936	51.94179	187.0303	195.9032	27.40521	61.66549	4.914286	29.12121	6.785714	66.20185	23.02857	16.0474	45.61429	44.82148	0.8810911	0.1530129	0.9482443	0.06628568	0.6709143	0.446478	0.7953332	0.2711905	0.9121509	0.9412667
OW_E	23	577.9565	553.3304	24.62609	1199.783	1267.9	68.11739	54.66716	65.73605	127.8426	182.8301	38.93	135.9269	24.62609	30.82894	-68.11739	120.2707	29.09565	26.44611	102.0826	91.7682	0.174372	1.381366	0.1510483	-1.464319	0.0009101858	3.830899	0.01261119	-2.716201	0.8848087	0.7552477
AO_E	11	753.1818	721.9364	31.24545	1202.091	1218.109	16.01818	46.25109	58.20286	130.6449	139.483	58.60187	46.0294	31.24545	51.99703	-16.01818	45.25854	34.73636	49.50071	37.41818	28.11483	0.1793971	1.393955	0.7838887	-0.2779859	0.07425028	1.992988	0.2676574	-1.17384	0.5243504	0.9459405
AA_R	7	716.8571	682.9429	33.91429	1272.286	1254.043	18.24286	62.39773	51.89723	84.97198	127.6264	38.40677	52.818	33.91429	19.46924	18.24286	53.53905	33.91429	19.46924	41.5	35.29032	0.2912794	1.105591	0.759116	0.3147946	0.003658276	4.608744	0.402053	0.9015114	0.9584977	0.951726
OW_L	2	636.5	503.2	133.3	1078.5	1252.15	173.65	88.38835	37.47666	150.6137	140.2193	138.0757	173.8055	133.3	50.91169	-173.65	10.39447	133.3	50.91169	173.65	10.39447	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
