vowel	stress	word	F1	F2	F3	B1	B2	B3	t	beg	end	dur	cd	fm	fp	fv	ps	fs	style	glide	F1@20%	F2@20%	F1@35%	F2@35%	F1@50%	F2@50%	F1@65%	F2@65%	F1@80%	F2@80%	nFormants	F1_man	F2_man	F3_man	plt_code	plt_stress	plt_word	t_man
IH	1	STILL	748.4	1641.2	3308.6	68.3	205.3	821.9	60.623	60.59	60.69	0.1	1	5	4	2	3	0			738.4	1678.2	750.0	1632.8	751.9	1541.9	751.2	1441.7	704.8	1338.3	5	737	1673	3407	1.5423	1	still	60.614
AE	1	GRADUATE	681.5	1991.0	2828.7	121.0	210.4	289.1	61.111	61.078	61.178	0.1	3	2	5	2	8	2			666.4	2006.5	683.0	1989.6	677.1	1980.8	640.2	1991.2	609.7	2013.3	5	689	1982	2892	3.25281	1	graduate	61.1231
ER	1	NURSING	643.5	1736.8	2234.3	73.8	214.7	284.1	69.942	69.908	70.009	0.101	94	3	4	1	4	1			648.8	1757.5	642.9	1735.9	632.3	1687.6	597.8	1304.3	523.0	1553.2	6	656	1815	2278	94.6004	1	nursing	69.955
IY	1	EITHER	599.5	2739.0	3205.2	466.4	305.4	313.8	72.689	72.659	72.749	0.09	11	3	3	2	0	1			667.7	2846.5	592.7	2726.1	552.7	2599.9	505.2	2374.0	440.9	2077.6	4	573	2702	3223	11.33101	1	either	72.6912
IY	0	BE	490.1	2628.5	3019.7	286.4	544.7	567.1	73.101	73.078	73.148	0.07	12	0	0	0	1	0			498.3	2486.4	487.4	2631.3	464.1	2664.2	457.2	2674.4	483.7	2636.3	5	448	2683	3126	12.0001	1	be	73.1231
IY	2	NEONATAL	504.1	2789.9	3190.8	108.7	97.6	1148.3	73.339	73.299	73.419	0.12	11	0	0	0	4	2			492.9	2516.4	504.0	2791.3	500.3	2384.7	513.0	2078.0	560.2	2079.0	6	474	2758	3225	11.44242	1	neonatal	73.314
EY	1	NEONATAL	658.2	2205.4	3064.8	128.1	233.0	584.9	73.599	73.579	73.688	0.109	21	1	4	1	4	1			657.7	2223.7	626.6	2353.5	588.9	2469.6	566.2	2529.8	539.9	2444.3	5	653	2164	3166	21.14141	1	(neo)natal	73.5907
ER	1	NURSE	718.2	1804.0	2452.5	106.1	132.3	297.2	73.995	73.948	74.089	0.141	94	3	4	1	4	0			710.5	1816.4	718.0	1804.2	706.9	1794.0	674.3	1789.1	591.7	1884.8	5	705	1821	2514	94.6004	1	nurse	73.9724
IY	2	PEDIATRIC	458.5	2445.2	2929.7	233.9	981.1	502.2	74.559	74.539	74.599	0.06	11	1	4	2	1	2			480.8	2627.0	455.1	2420.2	421.7	2206.3	406.0	2072.3	419.2	1987.0	5	464	2732	3240	11.14212	1	pediatric	74.563
AE	1	PEDIATRIC	706.7	2212.1	3083.5	157.9	338.0	313.6	74.742	74.709	74.809	0.1	3	1	4	1	0	1			654.3	2301.5	713.7	2200.6	735.1	2103.7	738.9	2036.5	717.6	2017.7	4	726	2038	2694	3.14104	1	(pedi)atric	74.7647
