vowel	stress	word	F1	F2	F3	B1	B2	B3	t	beg	end	dur	cd	fm	fp	fv	ps	fs	style	glide	F1@20%	F2@20%	F1@35%	F2@35%	F1@50%	F2@50%	F1@65%	F2@65%	F1@80%	F2@80%	nFormants	F1_man	F2_man	F3_man	plt_code	plt_stress	plt_word	t_man
OW	1	GO	614.9	1098.6	3175.9	126.9	239.9	466.5	99.908	99.888	99.977	0.089	63	0	0	0	6	0			614.9	1098.6	661.0	1133.5	661.6	1141.5	646.8	1144.4	605.9	1140.1	5		726	1142	3394	62.0006	1	go	99.9231
AE	1	GRANDMOTHER	681.1	1903.2	2515.5	117.6	420.5	413.8	100.335	100.308	100.388	0.08	39	4	1	2	8	2			625.0	1891.9	686.2	1901.1	744.9	1848.5	787.2	1760.2	792.5	1588.3	5		719	2067	2669	3.44285	1	grandmother	100.341
OW	1	GOES	564.3	1101.4	2631.1	104.6	144.4	909.3	100.667	100.648	100.757	0.109	62	3	4	2	6	0			577.2	1094.8	617.0	1098.5	608.6	1094.2	601.0	1158.2	567.9	1249.0	5		613	1092	2713	62.0026	1	goes	100.695
AA	1	LOT	828.3	1126.0	1903.1	123.7	316.6	970.7	101.104	101.067	101.178	0.111	5	1	4	1	7	0			817.8	1082.3	830.7	1135.8	857.5	1224.6	815.3	1282.6	871.6	1455.6	6		872	1367	3061	5.1417	1	lot	101.1329
ER	1	CHURCH	644.6	1968.6	3663.6	221.6	298.2	717.0	106.526	106.506	106.566	0.06	94	2	5	1	5	0			671.5	1990.3	639.5	1968.1	587.9	1968.6	505.0	1896.8	452.5	1989.3	4		639	1327	2035	94.2515	1	church	106.5196
EY	1	ABLAZE	604.0	1657.2	3048.1	91.8	176.1	159.9	109.944	109.931	110.051	0.12	21	3	4	2	8	0			581.6	1733.3	569.7	1852.0	571.5	2071.0	571.7	2313.2	557.8	2296.9	5		572	1792	2991	21.3428	1	(a)blaze	109.9607
AW	1	OUT	704.2	1133.3	2785.4	89.0	323.6	549.3	118.904	118.872	119.002	0.13	42	1	4	1	0	0			666.7	1120.7	744.4	1108.9	788.7	1162.5	794.4	1241.1	747.3	1200.7	5		796	1235	2952	42.141	1	out	118.9511
EH	1	THERE	700.7	2034.9	3303.5	73.9	797.9	856.9	119.136	119.113	119.182	0.069	24	6	4	2	3	0			708.6	1894.3	699.9	2048.8	696.5	2202.2	700.9	2237.1	701.3	2245.4	4		706	1718	2856	24.6003	1	there	119.1297
AY	1	I	936.2	1334.3	2906.9	98.0	211.9	925.9	127.973	127.903	128.043	0.14	41	0	0	0	0	0		m	921.4	1381.2	936.1	1337.5	928.0	1305.1	916.7	1319.2	858.6	1232.6	5		924	1299	2866	41.0006	1	I	127.983
AW	1	HOUR	1014.7	1367.0	3212.8	109.1	277.4	346.0	128.804	128.792	128.992	0.2	42	0	0	0	0	1			1015.5	1375.9	977.4	1311.7	839.3	1181.7	696.0	1028.8	680.8	864.2	4		1005	1341	3246	42.6	1	hour	128.8218
EY	1	PLACE	671.4	1704.9	2747.6	15.9	141.1	789.4	139.14	139.128	139.188	0.06	21	3	4	1	8	0			671.4	1704.9	662.6	1751.5	651.3	1826.7	636.0	1940.5	592.0	1873.1	6		668	1728	3079	21.3428	1	place	139.14
AA	1	LOT	861.3	1494.5	3034.4	96.6	183.3	256.4	150.55	150.533	150.583	0.05	5	1	4	1	7	0			825.0	1495.0	861.3	1494.5	907.6	1527.5	931.9	1562.0	943.9	1580.0	5		1000	1632	2961	5.1417	1	lot	150.5914
IY	1	PEOPLE	482.1	2113.8	2770.5	219.1	167.2	314.6	150.729	150.702	150.783	0.081	11	1	1	1	1	1			493.9	2146.9	483.3	2108.5	512.8	1927.7	544.1	1616.9	538.1	1302.0	5		477	2160	2811	11.11111	1	people	150.7222
AW	1	DOWN	832.9	1531.0	2770.6	92.9	217.9	301.6	151.049	151.022	151.142	0.12	42	4	4	2	3	0			824.1	1553.7	868.7	1502.1	879.0	1472.8	849.9	1461.0	807.2	1477.9	4		869	1459	2642	42.4423	1	down	151.0762
IH	1	CITY	536.8	2095.6	3074.1	59.2	206.4	271.7	151.49	151.473	151.523	0.05	1	1	4	1	3	1			537.4	2080.8	536.8	2095.6	532.6	2112.0	527.0	2116.0	513.4	2102.6	4		533	2092	3011	1.14131	1	city	151.4973
AY	1	I	837.2	1915.2	3055.5	66.9	289.9	525.4	159.285	159.255	159.365	0.11	41	0	0	0	0	0			835.2	1856.1	837.2	1918.8	826.1	1961.4	828.0	2039.4	817.5	2160.3	4		846	1905	2999	41.0006	1	I	159.2884
AA	1	LOT	867.0	1420.3	2585.2	22.0	256.3	334.0	169.427	169.407	169.467	0.06	5	1	4	1	7	0			856.6	1421.8	867.8	1420.0	874.2	1417.4	876.5	1417.9	878.7	1421.6	6		890	1460	2670	5.1417	1	lot	169.4685
EH	1	CONNECTION	847.8	1912.0	3071.2	87.6	183.6	179.4	171.273	171.256	171.306	0.05	2	1	6	1	4	4			844.6	1900.9	847.8	1912.0	842.4	1937.0	820.3	1973.1	791.8	2003.3	4		849	1900	3021	2.16144	1	(con)nection	171.2747
UW	1	JEWELRY	494.6	2048.3	4005.8	98.8	372.1	449.5	172.295	172.275	172.335	0.06	82	5	4	2	5	2			496.9	2027.2	494.4	2051.7	492.3	2066.0	492.3	2043.9	493.0	2017.3	3		475	1558	2161	82.54294	1	jewelry	172.2835
AH	1	STUFF	679.3	1153.1	2483.7	70.4	551.9	97.7	173.662	173.625	173.736	0.111	6	3	2	1	3	0			652.5	1260.3	681.4	1127.8	693.7	1024.7	677.5	1062.8	641.7	1367.0	5		696	1013	2469	6.3213	1	stuff	173.6815
AY	1	BUY	947.4	1773.8	3297.4	83.4	314.4	619.8	174.784	174.745	174.885	0.14	41	0	0	0	1	0			945.6	1795.9	943.4	1812.0	910.4	1942.9	812.5	2099.1	675.2	2265.6	4		924	1636	2662	41.0001	1	buy	174.786
EH	1	THERE	587.9	1924.7	3083.9	75.3	416.4	999.5	175.745	175.715	175.804	0.089	24	6	4	2	3	0			541.9	1838.2	591.6	1933.8	643.5	2076.0	658.6	2060.4	647.1	1916.1	4		636	1954	2978	24.6003	1	there	175.7556
AA	1	NOT	882.6	1647.7	2930.4	119.6	315.0	1274.1	182.171	182.128	182.258	0.13	5	1	4	1	4	0			858.3	1554.2	888.2	1652.6	894.2	1671.9	820.6	1604.0	691.8	1543.0	5		891	1681	2896	5.1414	1	not	182.1967
IY	0	REALLY	534.1	2049.7	3274.5	36.3	268.0	162.7	186.181	186.141	186.261	0.12	12	0	0	0	7	0			542.4	1836.7	533.6	2072.3	531.7	2234.4	528.0	2325.4	526.6	2098.3	5		612	1722	2904	11.54271	1	really	186.0834
AW	1	OUT	804.5	1849.2	3088.8	44.8	375.5	204.9	186.292	186.261	186.411	0.15	42	1	4	1	0	0			801.8	1863.4	863.3	1586.8	866.9	1476.8	835.9	1308.2	730.5	1158.9	4		843	1420	2919	42.141	1	out	186.3299
AA	1	LOT	833.7	1459.0	2727.6	106.7	440.5	809.4	192.638	192.588	192.738	0.15	5	1	4	1	7	0			786.0	1415.3	834.1	1463.1	778.5	1552.3	675.2	1628.4	641.1	1717.7	5		834	1441	2531	5.1417	1	lot	192.6456
AH	1	DRUGS	665.7	1126.2	2597.8	87.3	427.0	365.4	192.999	192.969	193.058	0.089	6	1	6	2	8	3			671.9	1142.6	664.6	1125.5	632.5	1178.0	548.0	1267.8	442.4	1304.0	5		671	1138	2619	6.1628	1	drugs	192.9933
IH	1	HERE	580.2	2566.4	3911.1	170.2	437.7	1443.0	193.242	193.209	193.308	0.099	14	6	4	2	0	0			553.4	2624.6	583.3	2543.7	601.2	2491.1	608.6	2560.2	621.9	2540.8	3		595	2210	2997	14.6	1	here	193.2357
AA	1	NOT	740.6	1519.0	2381.5	94.1	440.0	399.5	199.612	199.595	199.645	0.05	5	1	4	1	4	0			759.5	1560.1	740.6	1519.0	698.3	1454.4	640.3	1425.2	600.8	1428.1	5		869	1763	3069	5.1414	1	not	199.577
OW	1	ONLY	691.8	1087.9	2965.4	110.9	135.7	217.3	209.209	209.184	209.284	0.1	62	4	4	2	0	1			680.0	1088.6	702.4	1082.2	709.6	1071.2	713.9	1079.7	708.7	1093.7	6		702	1056	3275	62.44204	1	only	209.2318
AA	1	JOBS	829.7	1485.2	1644.3	89.2	349.9	2147.5	209.656	209.603	209.763	0.16	5	1	1	2	5	3			753.6	1258.7	841.2	1475.5	925.0	1479.3	914.8	1418.5	832.5	1348.0	6		953	1513	2849	5.1125	1	jobs	209.6879
AY	1	LIKE	701.6	1781.2	3287.8	79.7	245.3	222.8	209.967	209.953	210.074	0.121	47	1	6	1	7	0			693.9	1897.9	675.3	2039.3	638.8	2172.5	592.6	2292.2	534.3	2439.7	5		703	1862	3251	47.1617	1	like	209.9717
AA	1	DOLLAR	987.6	1681.1	2919.5	63.2	165.8	636.7	212.578	212.541	212.651	0.11	5	5	4	2	3	1			902.5	1674.5	994.6	1674.3	1039.8	1587.9	1045.3	1527.8	998.6	1507.1	4		1036	1588	3031	5.54231	1	dollar	212.5954
AO	1	STORES	531.8	1087.9	2620.8	103.2	171.8	534.6	213.047	213.01	213.12	0.11	64	6	4	2	3	3			538.4	1139.7	531.5	1087.5	527.7	1088.2	522.3	1065.2	529.8	1101.6	5		537	1108	2471	64.6003	1	stores	213.061
AH	1	STUFF	677.0	1231.8	2641.4	121.9	347.9	316.5	213.53	213.5	213.591	0.091	6	3	2	1	3	0			668.1	1294.6	679.9	1221.9	712.5	1188.0	760.8	1115.1	800.8	954.1	5		729	1330	2627	6.3213	1	stuff	213.534
AA	1	LOT	812.6	1580.5	3036.0	81.9	227.1	239.5	215.314	215.294	215.353	0.059	5	1	4	1	7	0			801.9	1698.5	813.6	1570.6	819.6	1536.8	819.1	1533.7	803.0	1530.5	4		819	1531	3005	5.1417	1	lot	215.3211
AE	1	FAST	727.7	2175.1	2917.0	63.0	210.2	193.6	215.53	215.493	215.603	0.11	33	3	4	1	1	3			675.1	2054.9	730.6	2184.3	731.8	2188.7	724.1	2122.2	717.0	2008.8	5		730	2191	2961	3.34113	1	fast	215.5475
UW	1	FOOD	474.7	992.4	2020.5	82.4	114.1	141.7	215.78	215.753	215.834	0.081	72	1	4	2	1	0			479.1	985.1	474.4	993.2	470.9	997.9	470.4	986.9	460.8	941.4	6		475	995	2018	72.1421	1	food	215.7804
EY	1	PLACES	555.8	1775.9	3111.8	106.3	508.5	227.0	215.975	215.963	216.034	0.071	21	3	4	1	8	1			548.5	1785.7	509.4	1898.4	479.4	2042.9	456.4	2155.6	441.7	2160.0	4		596	1756	3074	21.3428	1	places	215.9685
IY	1	LEAVING	523.3	2376.8	3202.4	124.6	311.9	123.4	220.888	220.861	220.941	0.08	11	3	2	2	7	1			522.1	2248.5	523.5	2383.4	524.4	2405.8	515.4	2411.0	495.9	2240.2	5		521	2405	3208	11.3227	1	leaving	220.8905
AH	1	BROTHER	695.4	1533.5	2543.2	65.0	361.7	210.6	230.398	230.368	230.458	0.09	6	3	3	2	8	1			660.7	1451.4	697.5	1540.5	717.2	1621.7	713.3	1607.6	671.2	1483.2	5		723	1646	2980	6.33181	1	brother	230.4199
OW	1	GO	663.4	1260.4	2524.3	228.4	361.7	1428.5	239.448	239.434	239.574	0.14	63	0	0	0	6	0			553.3	993.6	567.3	1003.1	501.5	1191.2	473.4	1273.7	494.3	1224.9	6		561	984	2358	62.0006	1	go	239.4805
AH	1	CLUBS	731.5	1165.3	1894.6	46.5	265.4	2652.0	240.234	240.214	240.273	0.059	6	1	1	2	8	3			736.1	1153.1	730.7	1157.4	712.2	1085.4	676.2	1019.9	614.8	1013.0	6		741	1184	3159	6.1128	1	clubs	240.2301
AA	1	BARS	724.0	1187.1	2454.4	77.5	297.3	290.3	240.58	240.543	240.653	0.11	44	6	4	2	1	3			697.0	1206.5	727.1	1185.8	747.8	1207.4	790.2	1616.3	768.7	1785.2	5		769	1331	2386	44.6001	1	bars	240.6131
AA	1	CARDBOARD	979.0	1488.9	2577.7	71.8	372.8	627.4	274.712	274.669	274.799	0.13	44	6	4	2	6	4			997.8	1511.0	970.5	1479.5	861.6	1493.6	788.1	1515.7	743.7	1376.8	6		1005	1567	2893	44.60004	1	cardboard	274.7087
AO	2	CARDBOARD	492.5	910.5	2545.9	49.4	14.7	111.1	274.995	274.958	275.068	0.11	64	6	4	2	1	3			487.0	913.3	493.2	910.5	501.8	915.7	519.5	929.7	574.9	1020.5	5		490	909	2565	64.6001	1	(card)board	274.9925
EH	1	BED	754.3	2000.2	3161.3	57.5	261.7	617.7	277.391	277.357	277.458	0.101	2	1	4	2	1	0			699.8	1909.6	755.8	2002.8	770.1	2011.7	773.9	2014.2	741.0	1983.0	4		772	1978	2852	2.1421	1	bed	277.4111
EH	1	BED	646.4	1651.7	3070.1	56.9	387.9	553.0	277.771	277.738	277.837	0.099	2	1	4	2	1	0			629.4	1646.8	649.4	1661.2	675.9	1727.3	696.0	1722.2	709.8	1697.3	4		703	1740	3157	2.1421	1	bed	277.8012
EH	1	BED	793.4	1786.8	2955.1	96.4	250.0	538.3	279.721	279.694	279.774	0.08	2	1	4	2	1	0			698.6	1765.7	798.5	1786.2	835.8	1801.4	841.8	1799.3	812.5	1789.3	5		842	1805	2842	2.1421	1	bed	279.7413
