vowel	stress	word	F1	F2	F3	B1	B2	B3	t	beg	end	dur	cd	fm	fp	fv	ps	fs	style	glide	F1@20%	F2@20%	F1@35%	F2@35%	F1@50%	F2@50%	F1@65%	F2@65%	F1@80%	F2@80%	nFormants	F1_man	F2_man	F3_man	plt_code	plt_stress	plt_word	t_man
IH	1	PIGS	457.8	2367.4	2820.6	66.2	109.6	251.1	44.854	44.807	44.948	0.141	1	1	6	2	1	3			457.7	2364.4	457.9	2367.2	469.9	2382.7	458.7	2406.4	437.6	2418.2	4	480	2386	2793	1.1621	1	pigs	44.8877
AE	1	HAD	537.8	2433.2	2859.3	86.7	103.5	499.0	46.374	46.338	46.447	0.109	3	1	4	2	0	0			501.4	2486.5	544.7	2424.1	577.7	2350.3	601.0	2220.5	566.6	2078.1	4	491	2484	2805	3.142	1	had	46.3555
AO	1	HORSE	487.8	702.3	2337.4	146.0	227.1	707.0	46.687	46.617	46.828	0.211	64	6	4	2	0	3			457.8	776.4	499.8	703.5	503.0	777.8	523.0	815.7	570.8	938.7	6	491	767	2547	54.6	1	horse	46.6701
EH	1	THEN	748.6	1650.9	2758.4	125.1	160.4	176.7	47.462	47.432	47.522	0.09	2	4	4	2	3	0			745.4	1623.2	748.3	1652.7	729.4	1673.2	698.0	1713.4	639.8	1745.2	4	826	1768	2820	2.4423	1	then	47.4873
AA	1	GOT	763.5	1777.9	2492.8	119.9	208.8	208.9	48.758	48.712	48.851	0.139	5	1	4	1	6	0			703.1	1951.3	767.6	1760.2	781.9	1754.2	759.1	1818.7	677.8	1875.3	5	777	1711	2433	5.1416	1	got	48.7706
EH	1	TREACHEROUS	752.3	1771.9	3758.6	237.6	91.9	2082.4	49.101	49.084	49.135	0.051	2	2	5	1	8	2			758.4	1766.4	750.5	1773.4	732.9	1777.0	696.0	1764.0	652.2	1767.0	4	685	1610	1915	2.16185	1	treacherous	49.1009
ER	1	GIRLS	516.0	1190.5	1916.2	97.7	179.5	713.6	50.438	50.384	50.545	0.161	94	5	4	2	6	3			500.2	1181.5	517.8	1194.8	539.9	1243.4	546.8	1227.5	542.5	1137.5	5	542	1240	1771	94.60053	1	girls	50.4744
AE	1	GRADUATED	435.2	2276.3	2626.4	86.2	160.5	377.7	50.971	50.954	51.004	0.05	3	2	5	2	8	2			441.7	2256.0	435.2	2276.3	422.5	2308.7	419.8	2328.7	422.8	2329.5	4	433	2275	2633	3.25282	1	graduated	50.9698
AY	1	HIGHSCHOOL	846.1	1759.9	2384.7	164.3	154.5	277.0	51.481	51.465	51.615	0.15	47	3	4	1	0	4		m	824.2	1769.6	708.9	1565.1	571.3	979.6	516.2	1084.3	458.3	1059.9	6	766	1717	2302	47.34201	1	highschool	51.4983
EY	1	CAME	490.8	2637.1	3174.0	322.1	243.7	982.9	52.204	52.165	52.245	0.08	21	4	1	2	6	0			439.3	2636.5	451.3	2662.7	456.1	2694.0	436.7	2692.6	392.3	2623.5	4	504	2588	2832	21.412	1	came	52.2082
