vowel	stress	word	F1	F2	F3	B1	B2	B3	t	beg	end	dur	cd	fm	fp	fv	ps	fs	style	glide	F1@20%	F2@20%	F1@35%	F2@35%	F1@50%	F2@50%	F1@65%	F2@65%	F1@80%	F2@80%	nFormants	F1_man	F2_man	F3_man	plt_code	plt_stress	plt_word	t_man
EH	1	SPENT	822.0	1733.6	2720.4	77.4	136.7	160.2	147.367	147.333	147.434	0.101	2	4	4	2	1	3			776.1	1692.5	823.4	1735.0	828.9	1754.5	810.4	1791.1	766.8	1832.0	4	835	1752	2790	2.44213	1	spent	147.38
AY	1	NINETEEN	874.5	1856.7	2685.1	124.8	106.7	338.1	148.174	148.156	148.306	0.15	41	4	4	2	4	4			870.5	1884.2	865.5	2034.9	848.8	2294.0	762.8	2530.7	577.2	1843.3	5	878	1852	2668	41.44242	1	nineteen	148.1757
AA	1	CHICAGO	802.0	1670.8	2771.5	106.1	175.6	847.0	150.503	150.466	150.576	0.11	43	1	6	2	6	1			811.7	1645.9	800.2	1676.3	773.1	1681.9	695.5	1665.2	645.9	1703.7	4	848	1692	2826	43.16201	1	(Chi)cago	150.4851
AW	1	NOW	855.6	1700.4	2964.2	118.9	143.3	770.4	151.579	151.556	151.716	0.16	42	0	0	0	4	0			846.1	1723.8	880.5	1526.7	873.2	1321.0	695.1	1048.9	762.7	1748.0	5	883	1534	3197	42.0004	1	now	151.6119
OW	1	CLOSED	642.0	964.0	2042.1	158.6	101.5	2549.3	151.893	151.886	152.105	0.219	62	3	4	2	8	3			600.5	938.7	538.5	931.8	491.7	916.9	447.6	916.1	413.6	1103.1	6	647	967	2477	62.3428	1	closed	151.8993
OW	1	GROCERY	571.3	1061.4	2179.6	156.4	153.9	620.1	152.788	152.781	152.841	0.06	62	3	4	1	8	1			571.3	1061.4	542.3	1040.8	521.3	1025.7	514.5	1039.7	504.6	1091.2	5	592	1072	1908	62.34282	1	grocery	152.77
AO	1	STORE	504.8	950.2	1900.2	108.4	103.4	424.3	153.323	153.26	153.45	0.19	64	6	4	2	3	0			491.9	1025.9	503.2	944.5	518.4	961.0	642.0	1050.0	658.9	1268.1	6	504	949	1909	64.6003	1	store	153.3221
AY	1	I	946.3	1605.9	2869.5	184.0	268.0	392.2	154.023	153.985	154.175	0.19	41	0	0	0	0	0		s	946.3	1605.9	897.6	1742.7	755.5	1734.7	546.5	1509.2	425.8	1693.8	5	943	1666	2753	41.0006	1	I	154.0384
AO	1	FOUR	514.6	830.8	2032.1	78.8	61.2	304.8	155.133	155.093	155.214	0.121	64	6	4	2	1	0			504.1	803.7	517.3	835.0	551.7	880.7	596.0	931.2	589.6	1001.1	6	514	819	2118	64.6001	1	four	155.1288
AW	1	HOURS	900.5	1549.2	2571.2	169.2	274.6	324.1	155.281	155.244	155.433	0.189	42	6	4	2	0	3			885.0	1553.4	929.2	1507.5	939.4	1402.5	933.2	1187.8	775.4	951.8	4	899	1449	2511	42.6	1	hours	155.3153
AO	1	OFFICE	911.8	1432.6	3258.5	118.0	162.5	1064.1	156.323	156.273	156.423	0.15	53	3	2	1	0	1			868.9	1543.8	916.2	1418.3	939.5	1359.7	934.8	1337.5	914.2	1258.0	5	941	1348	3188	53.32101	1	office	156.3542
AO	1	FOUR	585.5	932.8	2285.9	210.7	84.6	767.6	157.057	157.023	157.124	0.101	64	6	4	2	1	0			565.9	920.9	586.8	934.3	609.0	964.5	625.4	1006.4	659.5	1060.4	5	563	918	2309	64.6001	1	four	157.0491
AW	1	HOURS	874.4	1502.4	2705.6	104.7	193.5	1674.7	157.188	157.164	157.314	0.15	42	0	0	0	0	1			875.8	1488.2	878.7	1424.8	848.8	1283.5	805.0	1030.7	686.6	823.8	4	897	1504	2676	42.6	1	hours	157.1993
EH	1	REGISTER	726.5	1727.2	2724.4	170.3	146.5	610.8	157.894	157.864	157.954	0.09	2	2	5	2	7	2			734.7	1714.6	724.3	1728.3	693.5	1746.5	640.5	1795.0	564.7	1811.9	5	674	1764	2811	2.25272	1	register	157.9164
EH	1	THEN	770.0	1754.8	2859.0	105.9	146.4	595.5	159.316	159.286	159.376	0.09	2	4	4	2	3	0			734.6	1719.2	772.0	1758.6	793.5	1809.1	790.5	1854.5	775.2	1888.1	4	781	1764	2775	2.4423	1	then	159.3242
AE	1	AFTER	543.4	2529.2	3058.8	160.0	106.5	1404.2	159.486	159.446	159.565	0.119	33	3	2	1	0	4			551.7	2520.5	542.3	2530.7	537.2	2525.1	539.3	2424.3	535.4	2320.8	4	598	2507	2697	3.32104	1	after	159.4743
EH	1	LEFT	765.3	1582.2	3120.5	115.4	236.7	859.4	159.979	159.956	160.025	0.069	2	3	2	1	7	3			749.7	1597.2	766.5	1580.9	775.0	1585.7	776.6	1586.9	769.5	1591.3	4	785	1580	2932	2.32173	1	left	159.9869
AA	1	JOB	899.9	1598.4	2565.0	119.0	271.0	1645.5	160.632	160.545	160.805	0.26	5	1	1	2	5	0			745.7	897.5	902.3	1587.6	930.1	1663.6	778.7	1506.1	501.0	1082.7	6	936	1639	2786	5.1125	1	job	160.6526
AY	1	I	958.9	1694.6	2785.8	205.6	208.9	171.9	160.966	160.855	161.266	0.411	41	0	0	0	0	0			895.6	1592.3	954.5	1686.1	858.1	1883.8	587.0	946.0	434.2	1274.1	5	962	1683	2803	41.0006	1	I	160.9979
UW	1	FOOD	404.8	798.4	2141.2	155.1	150.7	525.3	163.731	163.694	163.805	0.111	72	1	4	2	1	0			414.1	779.2	404.5	807.3	388.3	898.9	347.1	949.7	334.0	1025.3	6	406	765	2011	72.1421	1	food	163.7277
ER	1	SERVICE	539.5	1555.1	2674.9	128.7	171.9	1353.7	163.991	163.964	164.044	0.08	94	3	2	2	3	1			523.3	1560.2	540.2	1555.0	532.3	1552.3	528.1	1538.4	528.9	1507.9	5	512	1518	1718	94.60031	1	service	164.0086
IH	1	HERE	497.3	2135.2		252.2	204.4		164.631	164.604	164.685	0.081	14	6	4	2	0	0			461.9	2255.7	500.1	2126.8	517.9	2003.2	534.7	1879.5	555.5	1796.2	3	496	1931	2170	14.6	1	here	164.6456
AA	1	COLLEGE	912.7	1659.1	2652.9	105.3	382.4	482.3	165.191	165.165	165.244	0.079	5	5	4	2	6	1			906.5	1728.2	913.3	1647.8	926.3	1595.9	944.6	1574.1	960.7	1552.2	5	913	1616	2622	5.54201	1	college	165.1934
AY	1	FIVE	798.8	1647.2	2664.0	85.6	191.6	281.0	168.096	168.056	168.207	0.151	41	3	2	2	1	0			796.1	1607.9	785.5	1721.9	749.4	1847.9	678.4	1990.9	524.4	1565.0	5	805	1621	2658	41.3221	1	five	168.0926
AW	1	NOW	918.8	1831.1	3074.2	112.7	186.6	370.3	169.725	169.701	169.892	0.191	42	0	0	0	4	0			954.2	1754.0	951.0	1621.3	924.7	1358.8	814.9	1085.2	781.3	869.3	5	960	1658	3063	42.0004	1	now	169.7599
IH	1	HERE	465.2	2447.2		263.5	69.4		170.501	170.461	170.581	0.12	14	6	4	2	0	0			449.8	2473.4	467.4	2442.8	494.3	2373.2	518.3	2236.8	563.9	2000.6	3	452	2440	2562	14.6	1	here	170.474
AO	0	FOURTEEN	506.4	881.4	2032.9	238.0	250.5	763.7	171.378	171.351	171.431	0.08	64	6	4	2	1	4			651.9	1240.8	502.0	868.5	492.7	881.8	496.1	922.2	498.2	966.0	6	525	928	2617	64.60011	1	fourteen	171.4014
IY	1	FOURTEEN	451.8	2687.6	4747.4	157.0	86.9	1777.5	171.668	171.631	171.742	0.111	11	4	4	2	3	0			406.8	2631.7	461.0	2691.8	501.4	2703.2	475.3	2649.8	464.8	2638.1	3	564	2710	4079	11.4423	1	(four)teen	171.6867
AE	1	PLAN	624.6	2402.7		558.1	557.3		174.642	174.619	174.689	0.07	33	4	4	2	8	0			647.7	2299.7	609.9	2423.3	569.0	2510.4	532.9	2471.4	503.0	2395.5	3	718	2283	3168	3.4428	1	plan	174.6309
AY	1	RETIRE	744.5	1710.6	2565.7	127.0	156.5	1427.4	175.117	175.079	175.26	0.181	41	6	4	2	3	0		s	744.4	1708.5	697.4	1786.0	588.4	1835.7	527.4	1746.3	516.8	1834.3	5	745	1727	2702	41.6003	1	(re)tire	175.1263
AH	1	MUCH	878.8	1656.8	2949.6	117.8	192.9	639.0	177.508	177.451	177.621	0.17	6	2	5	1	2	0			864.8	1476.0	871.9	1670.2	795.4	1773.5	465.8	1480.6	382.4	1177.5	6	922	1489	3146	6.16123	1	much	177.4786
IY	1	PEOPLE	401.6	2570.2		170.8	206.8		178.46	178.43	178.52	0.09	11	1	1	1	1	1			395.6	2571.2	402.3	2572.8	414.3	2577.4	431.8	2494.1	480.8	2314.6	3	432	2513	2971	11.11111	1	people	178.4437
AY	1	NICE	865.0	1610.8	2322.8	101.2	114.4	2507.7	178.898	178.869	179.029	0.16	47	3	4	1	4	0			864.5	1622.9	819.3	1640.3	710.8	1687.8	575.2	1685.8	477.1	1578.1	5	861	1638	2053	47.3424	1	nice	178.9057
UW	1	STUDENTS	362.6	1068.3	1800.7	171.9	316.3	2195.3	179.413	179.379	179.48	0.101	82	1	4	2	3	1			372.5	1030.5	364.3	1068.1	390.7	1101.6	371.5	1079.3	369.3	964.9	6	376	1089	2786	82.14231	1	students	179.4247
AY	1	NICE	875.3	1650.0	3251.6	208.1	165.4	595.8	179.981	179.94	180.19	0.25	47	3	4	1	4	0			864.4	1655.7	775.1	1816.3	623.2	2249.1	478.3	2298.4	408.3	2526.3	4	890	1632	2820	47.3424	1	nice	179.9853
OW	1	NO	636.8	1268.5	2758.2	241.7	180.8	637.3	181.808	181.789	181.889	0.1	63	0	0	0	4	0			638.4	1253.5	651.1	1063.9	628.9	898.3	596.9	1220.0	637.8	1711.1	5	644	1094	2656	62.0004	1	no	181.822
AA	1	PROBLEM	858.3	1518.6	2610.6	158.7	288.9	247.1	182.099	182.069	182.159	0.09	5	1	1	2	8	1			864.6	1520.2	856.8	1517.0	843.8	1454.9	809.3	1326.2	729.4	1186.4	5	875	1542	2608	5.11284	1	problem	182.0966
AY	1	NICE	789.6	1641.6	3342.2	122.0	127.6	617.2	182.976	182.96	183.079	0.119	47	3	4	1	4	0			788.6	1609.9	767.8	1784.0	683.9	1986.2	595.1	2277.3	515.1	2411.4	4	806	1671	3249	47.3424	1	nice	182.9888
AA	1	COLLEGE	877.5	1558.1	2383.0	135.3	299.7	559.9	183.857	183.79	183.99	0.2	5	5	4	2	6	1			690.4	1283.9	896.6	1582.1	876.1	1501.1	848.5	1224.7	890.9	1296.3	6	869	1503	2696	5.54201	1	college	183.8818
EY	1	PLACE	607.3	1847.7	3063.6	148.5	167.4	1469.4	185.221	185.208	185.298	0.09	21	3	4	1	8	0			582.7	1897.1	520.0	1953.2	464.1	1986.6	432.8	2143.2	422.0	2243.7	4	595	1884	2909	21.3428	1	place	185.2231
AA	1	START	734.4	1792.0	2814.9	140.5	147.2	336.9	185.7	185.677	185.747	0.07	44	6	4	2	3	3			675.7	1784.0	743.7	1791.1	776.3	1770.9	783.6	1746.3	783.1	1740.7	5	781	1774	2681	44.6003	1	start	185.7143
IH	1	INTERESTING	542.3	2425.7		382.5	459.5		189.687	189.657	189.746	0.089	1	4	4	2	0	5			714.9	2601.0	542.7	2420.9	553.8	2382.2	559.9	2463.9	543.2	2487.0	3	556	2425	2977	1.44205	1	interesting	189.7167
AO	1	STORE	533.2	1104.2	1803.7	101.1	158.6	523.1	190.489	190.446	190.576	0.13	64	6	4	2	3	0			508.5	1190.4	533.9	1091.4	522.6	1020.8	543.2	1009.3	588.2	1075.9	6	514	997	1847	64.6003	1	store	190.5175
OW	1	SO	753.4	1207.3	2286.4	260.4	192.6	532.2	191.185	191.166	191.296	0.13	63	0	0	0	3	0			783.5	1187.3	777.4	1016.3	737.2	935.8	544.5	817.8	336.7	732.0	6	787	1041	2488	62.0003	1	so	191.2102
EH	1	MANY	766.6	1861.8	2725.0	109.3	124.9	186.2	191.443	191.426	191.477	0.051	2	4	4	2	2	1			766.2	1817.3	766.2	1871.7	761.8	1934.6	752.0	1989.8	739.0	2020.8	5	769	1838	2702	2.44221	1	many	191.4397
IH	1	THINGS	524.9	2046.5	2931.5	103.4	118.3	113.7	191.953	191.936	191.987	0.051	1	4	6	2	3	3			512.3	2010.9	528.5	2054.4	553.7	2105.6	566.1	2171.0	567.1	2218.1	5	575	2313	2920	1.46233	1	things	191.9853
IH	1	IN	584.1	2182.6	2642.8	154.1	588.1	418.8	192.874	192.837	192.947	0.11	1	4	4	2	0	0			573.1	2184.5	584.4	2178.0	595.3	2151.5	605.5	2115.3	604.9	2053.3	4	590	2186	2602	1.442	1	in	192.8775
EH	1	SELL	698.4	1718.4	2935.3	154.3	172.5	877.2	197.699	197.682	197.733	0.051	2	5	4	2	3	0			658.3	1754.3	706.3	1713.9	757.4	1683.0	810.3	1624.7	842.3	1567.2	4	888	947	1511	2.5423	1	sell	197.7507
EH	1	EVERYTHING	856.3	1582.5	2748.7	80.1	140.5	440.1	197.955	197.932	198.002	0.07	2	3	2	2	0	2			853.4	1559.6	853.0	1587.9	831.1	1604.3	800.3	1601.9	789.2	1634.8	4	879	1621	2720	2.32202	1	everything	197.9596
AO	1	SOFTWARE	941.9	1339.9	3162.5	107.8	316.4	478.8	199.55	199.493	199.663	0.17	53	3	2	1	3	4			909.9	1299.4	942.8	1339.6	952.6	1384.2	962.4	1345.7	941.2	1254.4	4	977	1460	3196	53.32134	1	software	199.5904
AA	1	ART	894.4	1524.9	1916.6	105.2	221.4	460.0	200.851	200.828	200.898	0.07	44	6	4	2	0	3			918.7	1528.6	889.2	1525.8	860.4	1515.3	816.2	1449.5	756.8	1386.6	5	880	1537	1924	44.6	1	art	200.8558
AY	1	SUPPLIES	925.8	1521.7	3037.3	106.7	118.0	99.1	201.448	201.367	201.598	0.231	41	3	4	2	8	0			899.1	1310.9	925.8	1521.7	822.8	1531.1	685.8	2076.0	572.9	2134.2	5	925	1377	2961	41.0028	1	(sup)plies	201.4271
OW	1	DEODORANT	543.5	1289.8	2402.9	56.8	165.9	692.6	202.161	202.147	202.307	0.16	62	1	4	2	0	2			549.6	1079.8	492.9	911.6	451.9	829.9	430.4	865.4	431.3	1008.2	5	552	1068	2558	62.14202	1	(de)odorant	202.1821
OW	1	CLOTHING	612.8	861.1	2736.5	151.6	61.0	721.6	203.623	203.616	203.826	0.21	62	3	3	2	8	1			499.1	811.8	465.9	706.2	468.0	702.1	411.3	801.9	409.4	903.5	6	587	851	2900	62.3318	1	clothing	203.6263
EY	1	MAIN	605.9	2649.8		306.3	152.8		204.717	204.705	204.796	0.091	21	4	4	2	2	0			601.0	2711.3	553.3	2786.0	533.8	2797.9	539.3	2814.2	519.6	2771.2	3	600	2573	3310	21.4422	1	main	204.7124
UH	1	BOOKS	575.2	985.7	2643.4	215.7	60.5	819.4	205.466	205.446	205.506	0.06	7	1	6	1	1	3			577.5	970.1	575.0	987.8	560.5	1005.0	619.8	1262.9	658.3	1400.7	5	626	959	3223	7.1611	1	books	205.4596
AE	1	NATURALLY	480.6	2672.5		388.9	224.2		205.819	205.796	205.866	0.07	3	2	5	1	4	2			466.3	2704.5	484.5	2658.4	499.4	2592.6	465.1	2552.3	411.3	2536.0	3	464	2713	4197	3.25142	1	naturally	205.7727
UW	1	DO	385.4	1651.1	2686.3	132.3	315.0	260.0	207.684	207.677	207.807	0.13	73	0	0	0	3	0			389.6	1456.9	393.2	1195.3	406.1	1035.8	435.7	890.3	472.0	1004.3	5	396	1326	2656	72.0003	1	do	207.7124
AE	1	HAVE	537.4	2174.8	2652.0	92.1	293.5	190.9	207.94	207.917	207.987	0.07	3	3	2	2	0	0			530.6	2285.7	537.3	2146.9	537.1	2002.6	535.9	1833.2	536.5	1717.6	4	540	2377	2729	3.322	1	have	207.9226
IH	1	LITTLE	540.1	1365.3	3202.9	135.4	172.6	400.7	208.194	208.177	208.227	0.05	1	1	4	1	7	1			538.7	1363.7	540.1	1365.3	543.0	1364.6	544.1	1349.6	545.4	1336.8	4	568	1401	3172	1.14171	1	little	208.1992
EH	1	EVERYTHING	754.2	1613.4	2777.9	150.3	172.5	574.4	208.544	208.517	208.598	0.081	2	3	2	2	0	2			722.5	1594.8	756.6	1614.4	770.1	1619.7	761.3	1599.9	746.1	1567.8	4	774	1605	2598	2.32202	1	everything	208.5561
AA	1	ACCOMMODATE	868.0	1706.9	2684.8	111.1	233.3	510.5	209.318	209.288	209.378	0.09	5	4	1	2	6	2			847.0	1749.2	869.3	1704.6	877.4	1684.8	866.7	1645.5	821.5	1581.1	4	899	1687	2689	5.41202	1	(ac)commodate	209.3346
AO	1	DORM	650.7	994.8	1509.5	321.8	458.4	188.9	210.005	209.958	210.098	0.14	64	6	4	2	3	3			504.4	1075.3	663.1	991.1	638.9	1055.0	543.0	1093.7	648.3	1197.2	6	581	1057	1572	54.6003	1	dorm	210.0025
IH	1	KIDS	472.6	2420.5	4175.2	186.1	251.0	2369.0	220.198	220.178	220.238	0.06	1	1	4	2	6	3			467.3	2430.8	472.8	2420.5	471.4	2412.9	465.6	2354.2	458.9	2256.3	3	445	1973	2793	1.1426	1	kids	220.2167
IH	1	STILL	512.3	1904.9	2821.4	121.9	115.1	348.5	221.833	221.806	221.886	0.08	1	5	4	2	3	0			478.6	1898.0	514.8	1905.7	538.1	1898.2	555.8	1856.4	568.8	1800.0	4	533	1360	2070	1.5423	1	still	221.8389
EY	1	AGE	553.9	2470.4	2905.6	237.4	260.3	402.8	222.387	222.375	222.565	0.19	21	2	5	2	0	0			478.5	1324.0	450.6	1067.2	428.9	1221.2	414.3	1092.5	357.9	1193.9	5	484	2709	3251	21.252	1	age	222.4201
EY	1	EIGHT	477.8	2903.9	3895.6	189.5	197.2	2587.2	223.088	223.065	223.215	0.15	21	1	4	1	0	0			472.9	2936.6	453.0	2989.3	445.2	3073.0	435.3	3031.2	415.7	3042.6	3	471	2874	3079	21.141	1	eight	223.0965
EH	1	TEN	916.6	1888.3	2547.3	87.0	250.0	2334.8	223.595	223.545	223.696	0.151	2	4	4	2	3	0			916.3	1867.9	915.2	1830.7	903.0	1632.4	897.9	1593.4	850.0	1720.3	5	941	1911	2949	2.4423	1	ten	223.5791
OW	1	KNOW	740.6	1191.8	2258.1	258.2	274.7	1375.5	224.044	224.026	224.266	0.24	63	0	0	0	4	0			740.5	1215.4	753.8	950.1	763.7	809.5	703.1	833.9	611.0	945.6	5	746	1420	2482	62.0004	1	know	224.0582
IH	1	CITY	501.9	2294.2	4470.8	192.5	282.2	2203.2	225.142	225.115	225.196	0.081	1	1	4	1	3	1			499.1	2295.4	502.2	2293.4	496.5	2334.7	479.9	2395.9	459.0	2431.9	3	481	2064	2829	1.14131	1	city	225.1628
IY	1	PEOPLE	350.9	2764.1		101.9	284.4		226.926	226.903	226.973	0.07	11	1	1	1	1	1			354.0	2734.1	350.0	2765.4	346.5	2706.2	363.2	2577.2	460.3	2506.9	3	351	2705	2859	11.11111	1	people	226.9102
EH	1	NEXT	748.5	1799.8	3011.9	180.6	99.5	482.9	227.203	227.183	227.244	0.061	2	1	6	1	4	3			737.9	1722.8	748.4	1808.8	730.4	1883.0	694.2	1962.2	650.0	2037.0	4	761	1814	3089	2.16143	1	next	227.2041
AO	1	DOOR	461.4	911.8	2354.8	140.5	138.4	610.0	227.584	227.524	227.703	0.179	64	6	4	2	3	0			434.8	1028.3	464.9	903.1	516.2	886.9	561.3	927.7	577.5	983.8	6	471	910	2516	64.6003	1	door	227.5815
AY	1	MY	1152.2	1712.4		536.3	252.1		229.466	229.439	229.609	0.17	41	0	0	0	2	0			1138.5	1739.3	1094.7	1830.6	1056.4	2028.4	909.8	2335.1	661.7	2478.6	3	1001	1740	2755	41.0002	1	my	229.489
AE	1	CAN'T	516.8	2837.8		114.8	66.1		230.673	230.649	230.72	0.071	33	4	4	2	6	3			514.5	2808.5	517.3	2842.2	531.7	2909.1	581.2	2991.3	631.7	3012.6	3	533	2866	3264	3.44203	1	can't	230.6866
IH	1	THIS	480.0	2289.1	4553.5	63.3	223.9	865.5	231.206	231.119	231.38	0.261	1	3	4	1	3	0			481.6	2302.2	481.2	2293.5	482.1	2231.4	482.0	2134.2	473.6	2080.1	3	481	2291	2632	1.3413	1	this	231.1692
EY	1	LADY	560.0	2055.9	4091.4	167.9	303.7	1700.6	232.148	232.136	232.266	0.13	21	1	4	2	7	1			515.5	2353.6	483.0	2551.3	435.8	2599.9	396.6	2551.9	378.1	2555.9	3	480	2099	2704	21.14271	1	lady	232.1738
EH	1	FENCE	855.1	1613.5	2601.7	116.1	195.3	463.5	232.763	232.716	232.856	0.14	2	4	4	2	1	3			777.5	1689.4	863.7	1615.7	909.5	1664.5	906.8	1746.7	876.4	1795.2	5	908	1711	2547	2.44213	1	fence	232.7979
AH	1	UP	782.1	1437.5	2562.6	124.7	217.7	971.8	233.076	233.036	233.157	0.121	6	1	1	1	0	0			718.7	1452.0	785.9	1433.3	801.4	1374.6	793.3	1289.1	739.8	1187.7	5	808	1385	2745	6.111	1	up	233.1011
AH	1	HUSBAND	816.5	1479.7	2957.6	139.9	188.7	692.3	233.6	233.576	233.647	0.071	6	3	4	2	0	4			858.3	1501.9	813.0	1479.5	772.5	1483.0	717.3	1489.1	651.0	1498.5	4	839	1471	2852	6.34204	1	husband	233.5944
UW	1	MOVE	584.4	1674.6	3194.3	81.5	700.1	776.8	236.466	236.439	236.519	0.08	72	3	2	2	2	0			576.7	1356.2	584.5	1671.5	558.5	1601.0	510.7	1679.5	508.5	1801.1	5	522	788	1960	72.3222	1	move	236.4443
AO	1	NORTH	698.1	901.9	2402.2	195.2	449.0	574.1	236.892	236.829	237.019	0.19	64	6	4	2	4	3			622.5	982.0	691.5	916.9	764.9	895.0	817.0	1600.3	811.7	1133.5	5	691	857	1930	54.6004	1	north	236.944
AE	1	HAVE	611.3	2504.3		324.2	149.2		237.737	237.71	237.79	0.08	3	3	2	2	0	0			592.9	2502.8	612.3	2500.2	621.9	2413.0	629.2	2296.5	664.8	2227.1	3	551	2474	2539	3.322	1	have	237.7169
AE	1	LAND	612.6	2867.3	4498.4	338.8	189.2	1189.5	238.3	238.21	238.48	0.27	33	4	4	2	7	3			608.2	2823.7	617.3	2862.7	621.7	2821.4	626.9	2737.8	680.2	2588.0	3	716	2547	3052	3.44273	1	land	238.2788
EH	1	LET	761.9	1626.2	2803.7	113.0	155.3	679.0	239.458	239.438	239.498	0.06	2	1	4	1	7	0			785.1	1600.4	757.8	1628.3	706.5	1641.1	640.4	1665.7	570.6	1689.1	4	807	1586	2725	2.1417	1	let	239.4443
IY	1	THESE	403.3	2833.8		435.9	327.8		239.657	239.627	239.718	0.091	11	3	4	2	3	0			414.9	2759.2	406.2	2839.2	426.0	2854.9	409.9	2816.5	394.9	2694.6	3	452	2852	4312	11.3423	1	these	239.6716
IH	1	KIDS	453.5	2412.0	3182.7	255.1	430.5	942.1	239.907	239.877	239.967	0.09	1	1	4	2	6	3			674.0	2004.0	438.5	2397.2	419.3	2254.2	418.5	2148.2	425.4	2062.7	4	420	2120	2830	1.1426	1	kids	239.9376
EY	1	PLAY	663.6	1732.6	3341.9	122.3	88.6	1860.7	240.409	240.397	240.598	0.201	22	0	0	0	8	0			567.9	1960.8	523.7	2290.2	499.4	2377.1	440.7	2339.7	448.1	2340.6	4	592	1918	2878	22.0008	1	play	240.4274
UW	1	DO	450.8	1321.3	2290.1	190.2	225.1	713.4	240.835	240.828	240.888	0.06	73	0	0	0	3	0			450.8	1321.3	419.3	1114.1	399.2	982.4	400.1	899.4	421.1	832.9	6	394	951	1998	73.0003	1	do	240.8606
AY	1	NICE	852.2	1738.4	2818.0	107.6	115.7	529.9	243.227	243.227	243.347	0.12	47	3	4	1	4	0			783.1	1868.9	706.5	1966.3	617.1	2103.7	552.0	2149.9	538.6	2129.3	5	810	1745	3440	47.3424	1	nice	243.2292
AE	1	GRADUATED	475.5	2342.8		279.0	141.7		244.755	244.738	244.788	0.05	3	2	5	2	8	2			484.4	2349.1	475.5	2342.8	460.2	2325.5	452.8	2385.7	450.6	2424.2	3	481	2098	2430	3.25282	1	graduated	244.7378
EH	1	THERE	677.3	2061.3	2521.5	219.2	246.1	763.6	246.018	245.988	246.078	0.09	24	6	4	2	3	0			643.4	2138.4	679.2	2053.4	701.2	1949.7	728.2	1895.3	763.8	1856.5	4	639	2090	2544	24.6003	1	there	246.004
EY	1	CAME	464.7	2683.6		381.6	201.6		246.57	246.558	246.618	0.06	21	4	1	2	6	0			464.7	2683.6	452.3	2687.1	425.6	2717.3	394.4	2747.1	338.5	2737.4	3	577	2657	3806	21.412	1	came	246.5689
AE	1	BACK	546.2	2144.4	3403.1	393.4	689.0	919.8	246.758	246.728	246.818	0.09	3	1	6	1	1	0			541.9	2168.7	546.0	2139.2	547.5	2102.1	547.5	2119.5	541.4	2210.0	4	559	2138	3489	3.1611	1	back	246.7641
IH	1	CITY	566.4	1943.4	2768.6	111.1	226.0	388.9	247.844	247.824	247.884	0.06	1	1	4	1	3	1			553.3	1938.4	568.3	1944.1	581.9	1952.6	580.1	1974.1	566.9	1978.8	4	606	1987	2800	1.14131	1	city	247.8515
AH	1	LOVE	790.3	1273.5	3079.6	83.6	146.1	364.8	248.397	248.374	248.444	0.07	6	3	2	2	7	0			795.5	1314.2	787.4	1264.5	773.6	1242.3	748.8	1236.4	720.5	1250.3	4	804	1329	3074	6.3227	1	love	248.3864
IH	1	CITY	531.9	1965.1	2685.9	134.3	241.3	637.7	248.785	248.765	248.824	0.059	1	1	4	1	3	1			512.4	1971.1	532.7	1966.5	537.8	1966.8	536.3	1943.7	527.7	1929.3	4	524	2002	2689	1.14131	1	city	248.781
UW	1	DO	492.8	1694.8	2586.8	155.9	235.5	356.4	249.881	249.874	249.983	0.109	73	0	0	0	3	0			507.3	1570.7	532.5	1385.1	555.3	1175.7	638.5	1019.0	664.4	964.9	4	506	1584	2616	73.0003	1	do	249.8949
AA	1	PARDON	830.1	1602.2	2096.2	147.7	217.5	496.1	252.719	252.702	252.752	0.05	44	6	4	2	1	4			847.9	1612.6	830.1	1602.2	801.8	1605.6	773.9	1635.2	721.6	1573.6	6	758	1603	1865	44.60011	1	pardon	252.7319
IH	1	DID	550.3	2034.8	2780.1	80.3	269.1	322.0	254.764	254.714	254.865	0.151	1	1	4	2	3	0			499.6	2124.1	551.9	2025.1	560.1	1980.3	597.3	1904.9	586.8	1906.9	4	531	2102	2778	1.1423	1	did	254.751
OW	1	BOTH	584.5	1087.7	2693.2	123.2	115.6	647.7	255.185	255.174	255.314	0.14	62	3	3	1	1	0			590.4	1032.4	569.0	974.7	568.5	904.1	681.1	833.7	609.4	1631.6	5	628	1039	3365	62.3311	1	both	255.2013
IH	1	HERE	638.4	2007.4	2408.6	130.2	410.9	320.6	256.445	256.415	256.505	0.09	14	6	4	2	0	0			624.6	2141.3	639.0	1997.8	625.8	1872.7	625.6	1771.3	645.2	1678.9	5	624	2107	2536	14.6	1	here	256.4333
IY	1	DEGREE	463.3	2330.0	2557.6	103.9	175.6	526.8	259.906	259.876	259.966	0.09	12	0	0	0	8	0			461.9	2244.5	463.5	2345.7	460.7	2422.7	461.7	2470.8	470.3	2485.6	4	462	2227	2461	12.0008	1	(de)gree	259.903
AW	1	ACCOUNTING	898.8	1389.4	2126.5	438.5	495.4	164.4	260.233	260.216	260.326	0.11	42	4	4	2	6	4			881.4	1270.6	927.8	1087.0	901.0	1203.3	962.2	1414.4	962.7	1255.4	6	946	1648	2810	42.44203	1	(ac)counting	260.2534
